"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",264
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",264
-0.558276302948778,-0.728824634772452,-0.387727971125105,1,"Conventional",264
-0.249343729415656,-0.526254173507921,0.0275667146766083,1,"RIL",264
-0.557197584046633,-0.724097473983125,-0.390297694110141,2,"Conventional",264
-0.247012387251596,-0.497588388066627,0.00356361356343476,2,"RIL",264
-0.556169261138584,-0.719664651070301,-0.392673871206867,3,"Conventional",264
-0.258545202327322,-0.486911833967934,-0.0301785706867099,3,"RIL",264
-0.55526251214872,-0.715813301486111,-0.394711722811329,4,"Conventional",264
-0.253678977129571,-0.465803180448399,-0.0415547738107424,4,"RIL",264
-0.554736382425788,-0.713602586030096,-0.395870178821481,5,"Conventional",264
-0.278455846517301,-0.476597286419871,-0.0803144066147322,5,"RIL",264
-0.553841500346085,-0.709881872762397,-0.397801127929774,6,"Conventional",264
-0.282263267932287,-0.467607948946348,-0.0969185869182255,6,"RIL",264
-0.553138213875176,-0.706991876400762,-0.399284551349591,7,"Conventional",264
-0.296192691376186,-0.470523663522141,-0.12186171923023,7,"RIL",264
-0.552350148828193,-0.703788340890821,-0.400911956765566,8,"Conventional",264
-0.291811294340981,-0.456620533423854,-0.127002055258108,8,"RIL",264
-0.551479364371682,-0.700290439541783,-0.402668289201581,9,"Conventional",264
-0.291532181084445,-0.446857023760475,-0.136207338408415,9,"RIL",264
-0.550678438228434,-0.697111161648532,-0.404245714808336,10,"Conventional",264
-0.288804239177645,-0.435958407544002,-0.141650070811287,10,"RIL",264
-0.550037808401818,-0.694593905699153,-0.405481711104484,11,"Conventional",264
-0.296718100959638,-0.43715509601468,-0.156281105904596,11,"RIL",264
-0.549244769440308,-0.691508913139416,-0.406980625741201,12,"Conventional",264
-0.298736437954284,-0.432207258225419,-0.165265617683149,12,"RIL",264
-0.549065513273269,-0.690816307659798,-0.407314718886741,13,"Conventional",264
-0.31248834693134,-0.441821639045147,-0.183155054817534,13,"RIL",264
-0.548322166315427,-0.687962525995391,-0.408681806635463,14,"Conventional",264
-0.311714977088203,-0.435228847361324,-0.188201106815082,14,"RIL",264
-0.547611471696325,-0.685261449748965,-0.409961493643684,15,"Conventional",264
-0.309174261018284,-0.427332730443192,-0.191015791593376,15,"RIL",264
-0.547138221222527,-0.683477462312244,-0.410798980132809,16,"Conventional",264
-0.315243048568058,-0.429520792651003,-0.200965304485113,16,"RIL",264
-0.546527065401347,-0.681190774983297,-0.411863355819398,17,"Conventional",264
-0.319007998887153,-0.428986395655214,-0.209029602119091,17,"RIL",264
-0.545966966117898,-0.679111960661855,-0.412821971573941,18,"Conventional",264
-0.317437021106046,-0.423804628403374,-0.211069413808719,18,"RIL",264
-0.545480598613454,-0.677319749759821,-0.413641447467087,19,"Conventional",264
-0.323578016394176,-0.426316969780426,-0.220839063007927,19,"RIL",264
-0.54531399120728,-0.676708571226774,-0.413919411187785,20,"Conventional",264
-0.332720316258209,-0.432936147490579,-0.23250448502584,20,"RIL",264
-0.544698438852333,-0.674462602286297,-0.41493427541837,21,"Conventional",264
-0.332398150037176,-0.429123288119175,-0.235673011955178,21,"RIL",264
-0.544105824567319,-0.672318233961662,-0.415893415172976,22,"Conventional",264
-0.334350866029702,-0.427792784282497,-0.240908947776907,22,"RIL",264
-0.54355304888699,-0.670333733535218,-0.416772364238762,23,"Conventional",264
-0.332196844710854,-0.42263593631323,-0.241757753108478,23,"RIL",264
-0.543025414311432,-0.668453551262801,-0.417597277360063,24,"Conventional",264
-0.334710347360848,-0.422388965081769,-0.247031729639927,24,"RIL",264
-0.542587181522495,-0.666902325640427,-0.418272037404562,25,"Conventional",264
-0.330888007884492,-0.416080540703205,-0.245695475065778,25,"RIL",264
-0.542037984583701,-0.664971553566821,-0.419104415600582,26,"Conventional",264
-0.332678889661231,-0.415242191099693,-0.250115588222769,26,"RIL",264
-0.543035034625771,-0.668487708998617,-0.417582360252925,27,"Conventional",264
-0.345742899831747,-0.428920977781889,-0.262564821881606,27,"RIL",264
-0.542672514041577,-0.667203643964923,-0.41814138411823,28,"Conventional",264
-0.349382378450584,-0.430617380385675,-0.268147376515493,28,"RIL",264
-0.542292427117031,-0.665864251823118,-0.418720602410945,29,"Conventional",264
-0.34617567978325,-0.425457040383842,-0.266894319182659,29,"RIL",264
-0.542205294321687,-0.665558197548305,-0.41885239109507,30,"Conventional",264
-0.352167242002626,-0.430218780943673,-0.274115703061579,30,"RIL",264
-0.542211054781035,-0.665578420076286,-0.418843689485783,31,"Conventional",264
-0.358986226731025,-0.435931650145804,-0.282040803316246,31,"RIL",264
-0.54172604785182,-0.663881417944114,-0.419570677759527,32,"Conventional",264
-0.359718594759239,-0.434637284604681,-0.284799904913797,32,"RIL",264
-0.541304128745509,-0.662414438733896,-0.420193818757123,33,"Conventional",264
-0.361994278914849,-0.435089857425093,-0.288898700404606,33,"RIL",264
-0.54102448323223,-0.661446862731926,-0.420602103732534,34,"Conventional",264
-0.358189348843979,-0.429791962229897,-0.286586735458061,34,"RIL",264
-0.540847740144857,-0.660837272763763,-0.42085820752595,35,"Conventional",264
-0.353832614781653,-0.424218474269339,-0.283446755293968,35,"RIL",264
-0.54072320765261,-0.660408638754797,-0.421037776550422,36,"Conventional",264
-0.349193302054985,-0.418515673753561,-0.279870930356409,36,"RIL",264
-0.540418378603752,-0.659362645411419,-0.421474111796084,37,"Conventional",264
-0.346211449480781,-0.414133110163772,-0.278289788797791,37,"RIL",264
-0.540361015334105,-0.659166302053025,-0.421555728615184,38,"Conventional",264
-0.341208221973311,-0.4081939309583,-0.274222512988323,38,"RIL",264
-0.539960731771787,-0.657800593535154,-0.422120870008419,39,"Conventional",264
-0.340262111836858,-0.405788328364875,-0.274735895308841,39,"RIL",264
-0.540511751720098,-0.659682577865286,-0.42134092557491,40,"Conventional",264
-0.332366752263705,-0.39801925616743,-0.266714248359979,40,"RIL",264
-0.540231761931777,-0.658724470402562,-0.421739053460993,41,"Conventional",264
-0.330369877245263,-0.394916700483895,-0.265823054006631,41,"RIL",264
-0.5404578507767,-0.659497842059971,-0.42141785949343,42,"Conventional",264
-0.336654178356499,-0.400811508305518,-0.27249684840748,42,"RIL",264
-0.54020174796471,-0.658621988217921,-0.421781507711498,43,"Conventional",264
-0.339313263369654,-0.402391056078152,-0.276235470661156,43,"RIL",264
-0.540153860188953,-0.658458521879147,-0.421849198498759,44,"Conventional",264
-0.343666866371411,-0.406006643349939,-0.281327089392884,44,"RIL",264
-0.540122742265559,-0.658352426567175,-0.421893057963943,45,"Conventional",264
-0.347937382039142,-0.409626314883426,-0.286248449194859,45,"RIL",264
-0.539822987758146,-0.657332400186224,-0.422313575330067,46,"Conventional",264
-0.346700322362273,-0.40735923924715,-0.286041405477397,46,"RIL",264
-0.539531857782613,-0.656345823500101,-0.422717892065126,47,"Conventional",264
-0.344777862966773,-0.404380229675009,-0.285175496258536,47,"RIL",264
-0.539253492077369,-0.655406275017836,-0.423100709136901,48,"Conventional",264
-0.344517980054118,-0.403240604120142,-0.285795355988093,48,"RIL",264
-0.538908146747472,-0.65424576551653,-0.423570527978414,49,"Conventional",264
-0.343703191328669,-0.40133019168843,-0.286076190968907,49,"RIL",264
-0.538916420133049,-0.6542734997639,-0.423559340502197,50,"Conventional",264
-0.347598855017206,-0.404750267711411,-0.290447442323001,50,"RIL",264
