"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",427
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",427
-0.558088489995111,-0.727995787617366,-0.388181192372855,1,"Conventional",427
-0.262813075084004,-0.537724425067173,0.0120982748991642,1,"RIL",427
-0.557574322434005,-0.725739290360137,-0.389409354507873,2,"Conventional",427
-0.302652404864957,-0.553699742235692,-0.0516050674942234,2,"RIL",427
-0.556665254337877,-0.721793964157272,-0.391536544518483,3,"Conventional",427
-0.320876860115889,-0.550677729055088,-0.0910759911766897,3,"RIL",427
-0.555815919788671,-0.718157560183209,-0.393474279394133,4,"Conventional",427
-0.333984557102668,-0.547325771760078,-0.120643342445259,4,"RIL",427
-0.554946025865277,-0.714481392999759,-0.395410658730796,5,"Conventional",427
-0.322927755463952,-0.521270060744265,-0.124585450183639,5,"RIL",427
-0.554340261503321,-0.711949538040025,-0.396730984966617,6,"Conventional",427
-0.305024920552866,-0.491449616976673,-0.118600224129058,6,"RIL",427
-0.553653389588429,-0.709105965136736,-0.398200814040121,7,"Conventional",427
-0.291379317512167,-0.466957005643329,-0.115801629381005,7,"RIL",427
-0.552797043608696,-0.705600522375161,-0.399993564842231,8,"Conventional",427
-0.286203260799471,-0.451309251357416,-0.121097270241527,8,"RIL",427
-0.551984026149228,-0.702312339281638,-0.401655713016817,9,"Conventional",427
-0.290164363450608,-0.44624470653655,-0.134084020364666,9,"RIL",427
-0.551461384512655,-0.700218671048625,-0.402704097976685,10,"Conventional",427
-0.278773656394311,-0.427991016995616,-0.129556295793007,10,"RIL",427
-0.551484516945054,-0.700311009707378,-0.402658024182729,11,"Conventional",427
-0.298534854125941,-0.442867707003568,-0.154202001248314,11,"RIL",427
-0.550846094827036,-0.697773698598678,-0.403918491055395,12,"Conventional",427
-0.290615819637225,-0.42832097747882,-0.15291066179563,12,"RIL",427
-0.550311285640064,-0.695665721132831,-0.404956850147297,13,"Conventional",427
-0.282026892632371,-0.414126796620117,-0.149926988644624,13,"RIL",427
-0.549876667220778,-0.693964279991584,-0.405789054449973,14,"Conventional",427
-0.291095848464824,-0.418538415866816,-0.163653281062833,14,"RIL",427
-0.549247972738566,-0.691521304990058,-0.406974640487075,15,"Conventional",427
-0.296475643286845,-0.418677837596485,-0.174273448977206,15,"RIL",427
-0.548599682243539,-0.689024486525497,-0.408174877961581,16,"Conventional",427
-0.299993283777687,-0.417318031107294,-0.182668536448081,16,"RIL",427
-0.548580443760847,-0.688950731056027,-0.408210156465666,17,"Conventional",427
-0.287326337221882,-0.401816269606231,-0.172836404837532,17,"RIL",427
-0.548216151411441,-0.687557916494707,-0.408874386328174,18,"Conventional",427
-0.279332044375006,-0.390297893699916,-0.168366195050096,18,"RIL",427
-0.547673009205863,-0.68549428232806,-0.409851736083667,19,"Conventional",427
-0.28398918083907,-0.391092209254965,-0.176886152423175,19,"RIL",427
-0.547143451061077,-0.683497113051383,-0.410789789070771,20,"Conventional",427
-0.280777815201987,-0.384433432944506,-0.177122197459468,20,"RIL",427
-0.546563898034388,-0.681328046727971,-0.411799749340806,21,"Conventional",427
-0.282111213500482,-0.382321701526478,-0.181900725474486,21,"RIL",427
-0.546073718152759,-0.67950693229959,-0.412640504005929,22,"Conventional",427
-0.281957387088164,-0.379402375024024,-0.184512399152304,22,"RIL",427
-0.545581220741044,-0.677689547064606,-0.413472894417483,23,"Conventional",427
-0.284323272079477,-0.378948903929806,-0.189697640229148,23,"RIL",427
-0.545482674426603,-0.677327370793599,-0.413637978059607,24,"Conventional",427
-0.276354040186426,-0.369141342959437,-0.183566737413415,24,"RIL",427
-0.544920935534326,-0.675272229996571,-0.41456964107208,25,"Conventional",427
-0.276047643368556,-0.365936423896822,-0.186158862840291,25,"RIL",427
-0.544427940080557,-0.673481636899819,-0.415374243261295,26,"Conventional",427
-0.276685905491138,-0.364106037271366,-0.18926577371091,26,"RIL",427
-0.544245376462417,-0.672821626536284,-0.415669126388549,27,"Conventional",427
-0.283350920788255,-0.368905023422381,-0.197796818154128,27,"RIL",427
-0.5442882506029,-0.672976477498698,-0.415600023707102,28,"Conventional",427
-0.291114473909706,-0.375518584783465,-0.206710363035948,28,"RIL",427
-0.543916316310026,-0.671636182115691,-0.416196450504362,29,"Conventional",427
-0.295011407582509,-0.377363842174253,-0.212658972990766,29,"RIL",427
-0.543457618051233,-0.66999265849576,-0.416922577606705,30,"Conventional",427
-0.294792069815317,-0.375076752385662,-0.214507387244971,30,"RIL",427
-0.543181641685191,-0.66900882707344,-0.417354456296941,31,"Conventional",427
-0.295907392352493,-0.374959777993567,-0.21685500671142,31,"RIL",427
-0.542810903443979,-0.667693063588892,-0.417928743299066,32,"Conventional",427
-0.297400284037856,-0.37481259037541,-0.219987977700302,32,"RIL",427
-0.54280536819691,-0.667673473120592,-0.417937263273228,33,"Conventional",427
-0.291285089513167,-0.367732237782872,-0.214837941243462,33,"RIL",427
-0.542442369372334,-0.666391793045254,-0.418492945699413,34,"Conventional",427
-0.29444405130396,-0.369144460335975,-0.219743642271945,34,"RIL",427
-0.542401622943688,-0.666248328011852,-0.418554917875524,35,"Conventional",427
-0.300501263223641,-0.374098778249876,-0.226903748197407,35,"RIL",427
-0.542025253111048,-0.664926966577538,-0.419123539644559,36,"Conventional",427
-0.298166466653923,-0.370115588551029,-0.226217344756817,36,"RIL",427
