"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",273
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",273
-0.558168697109553,-0.728349451365117,-0.387987942853989,1,"Conventional",273
-0.303933056192285,-0.577333652351105,-0.0305324600334653,1,"RIL",273
-0.558232291715599,-0.72863018431314,-0.387834399118058,2,"Conventional",273
-0.358410706202715,-0.611904279045849,-0.104917133359581,2,"RIL",273
-0.557236801560706,-0.724267932644172,-0.390205670477241,3,"Conventional",273
-0.364300719735873,-0.596944527920698,-0.131656911551049,3,"RIL",273
-0.556501186781949,-0.721087821314764,-0.391914552249133,4,"Conventional",273
-0.343171977959192,-0.558625889384159,-0.127718066534226,4,"RIL",273
-0.555840325251086,-0.718261399892101,-0.393419250610071,5,"Conventional",273
-0.322467469567043,-0.523309076071294,-0.121625863062792,5,"RIL",273
-0.55502268626178,-0.714803433904782,-0.395241938618777,6,"Conventional",273
-0.334868102154554,-0.522479817759173,-0.147256386549935,6,"RIL",273
-0.554103219675407,-0.710964963522365,-0.397241475828448,7,"Conventional",273
-0.335756037500503,-0.51145118935145,-0.160060885649556,7,"RIL",273
-0.553271489270543,-0.707537268978061,-0.399005709563025,8,"Conventional",273
-0.328854904641364,-0.494221208263018,-0.163488601019709,8,"RIL",273
-0.552637201946454,-0.704951016298686,-0.400323387594222,9,"Conventional",273
-0.340257163926706,-0.497194138767438,-0.183320189085973,9,"RIL",273
-0.551967711770871,-0.702246744296137,-0.401688679245605,10,"Conventional",273
-0.3487894786426,-0.498077604731509,-0.199501352553692,10,"RIL",273
-0.551189983123947,-0.699137578927075,-0.403242387320819,11,"Conventional",273
-0.347850348529697,-0.489800045562235,-0.205900651497158,11,"RIL",273
-0.550661456449553,-0.697044141821756,-0.40427877107735,12,"Conventional",273
-0.358091577297245,-0.4939371672043,-0.22224598739019,12,"RIL",273
-0.550076026354446,-0.694743311473209,-0.405408741235683,13,"Conventional",273
-0.365346379539357,-0.495503402056235,-0.235189357022479,13,"RIL",273
-0.549393383440668,-0.692084433241058,-0.406702333640277,14,"Conventional",273
-0.361595878561966,-0.486204556623352,-0.236987200500579,14,"RIL",273
-0.548669676569572,-0.689292986380427,-0.408046366758716,15,"Conventional",273
-0.361302824623396,-0.480551755157321,-0.242053894089471,15,"RIL",273
-0.548219023172464,-0.687568868468419,-0.40886917787651,16,"Conventional",273
-0.35628003819975,-0.47193751642657,-0.24062255997293,16,"RIL",273
-0.547574400923135,-0.68512128487139,-0.410027516974881,17,"Conventional",273
-0.353683993521673,-0.464851344417345,-0.242516642626002,17,"RIL",273
-0.546911330719623,-0.682626287576825,-0.411196373862421,18,"Conventional",273
-0.353201027026685,-0.460077847959071,-0.246324206094299,18,"RIL",273
-0.54626558270351,-0.680218285120108,-0.412312880286913,19,"Conventional",273
-0.352798387438093,-0.455707693678429,-0.249889081197758,19,"RIL",273
-0.545669372859578,-0.678013937842179,-0.413324807876977,20,"Conventional",273
-0.353813812772377,-0.453194482269232,-0.254433143275522,20,"RIL",273
-0.54559291436742,-0.677732555782638,-0.413453272952201,21,"Conventional",273
-0.344309707617966,-0.441490349053576,-0.247129066182357,21,"RIL",273
-0.545312681067451,-0.676703771055391,-0.413921591079512,22,"Conventional",273
-0.337596739628304,-0.432308152854425,-0.242885326402182,22,"RIL",273
-0.54479568602598,-0.674816165061299,-0.414775206990661,23,"Conventional",273
-0.339775239474326,-0.431652136574728,-0.247898342373923,23,"RIL",273
-0.544282002262472,-0.672953905693908,-0.415610098831036,24,"Conventional",273
-0.342511481566734,-0.431580921087469,-0.253442042045999,24,"RIL",273
-0.543814525190813,-0.671270561147039,-0.416358489234586,25,"Conventional",273
-0.339397828435624,-0.425935666490657,-0.252859990380592,25,"RIL",273
-0.543442997012153,-0.669940441855782,-0.416945552168523,26,"Conventional",273
-0.337115129635724,-0.421744630289019,-0.252485628982428,26,"RIL",273
-0.5435969359656,-0.670490739161223,-0.416703132769976,27,"Conventional",273
-0.345923109970839,-0.429519603945067,-0.262326615996612,27,"RIL",273
-0.543143472966122,-0.668873054975185,-0.417413890957058,28,"Conventional",273
-0.344670288256103,-0.426140818931691,-0.263199757580515,28,"RIL",273
-0.542748251760163,-0.667471378180227,-0.418025125340099,29,"Conventional",273
-0.348233978591595,-0.427642626406778,-0.268825330776412,29,"RIL",273
-0.542507993678626,-0.666623022926962,-0.418392964430291,30,"Conventional",273
-0.343826612384166,-0.421690824043923,-0.265962400724408,30,"RIL",273
-0.542173478527627,-0.665446503304566,-0.418900453750688,31,"Conventional",273
-0.340108437467448,-0.41620581510438,-0.264011059830516,31,"RIL",273
-0.541710618852829,-0.663827629207555,-0.419593608498104,32,"Conventional",273
-0.341513583948165,-0.415643733998933,-0.267383433897397,32,"RIL",273
-0.541559197759189,-0.663300270402289,-0.419818125116088,33,"Conventional",273
-0.337347605366929,-0.410403099883189,-0.264292110850669,33,"RIL",273
-0.541100941768511,-0.661711036376793,-0.420490847160228,34,"Conventional",273
-0.336514436542451,-0.407738067790973,-0.26529080529393,34,"RIL",273
-0.540870533837337,-0.660915804317842,-0.420825263356831,35,"Conventional",273
-0.339422194101515,-0.409540340800995,-0.269304047402034,35,"RIL",273
-0.540470092378376,-0.659539785375759,-0.421400399380992,36,"Conventional",273
-0.338926046220192,-0.407523236332548,-0.270328856107836,36,"RIL",273
-0.540087604998272,-0.65823263754825,-0.421942572448294,37,"Conventional",273
-0.339475972234509,-0.406663867863796,-0.272288076605222,37,"RIL",273
-0.539878352226802,-0.657520476279488,-0.422236228174115,38,"Conventional",273
-0.336944136376426,-0.40318865252587,-0.270699620226981,38,"RIL",273
-0.539485783939879,-0.656190054827722,-0.422781513052037,39,"Conventional",273
-0.337439185569989,-0.402289147795089,-0.27258922334489,39,"RIL",273
-0.539138914320809,-0.655020612739106,-0.423257215902511,40,"Conventional",273
-0.337724927414181,-0.401376339564128,-0.274073515264233,40,"RIL",273
-0.539177773367446,-0.655151340844135,-0.423204205890757,41,"Conventional",273
-0.342974042863534,-0.405940065704006,-0.280008020023062,41,"RIL",273
-0.538847991226131,-0.654044194939976,-0.423651787512286,42,"Conventional",273
-0.340994565005199,-0.402725289561002,-0.279263840449396,42,"RIL",273
-0.53870147692436,-0.653553969158367,-0.423848984690353,43,"Conventional",273
-0.337978965091888,-0.398931461448116,-0.277026468735661,43,"RIL",273
-0.538615772523056,-0.653267678859914,-0.423963866186199,44,"Conventional",273
-0.334077416468898,-0.394253513549569,-0.273901319388227,44,"RIL",273
-0.538278456413453,-0.652144227016067,-0.424412685810838,45,"Conventional",273
-0.333891947549346,-0.392989726748185,-0.274794168350507,45,"RIL",273
-0.537906874666521,-0.650912943536284,-0.424900805796759,46,"Conventional",273
-0.333102078267943,-0.391016993569744,-0.275187162966142,46,"RIL",273
-0.537610862670236,-0.649936692789289,-0.425285032551183,47,"Conventional",273
-0.333243018707097,-0.390254457729246,-0.276231579684948,47,"RIL",273
-0.537386666554404,-0.649200028163269,-0.425573304945539,48,"Conventional",273
-0.331775745282661,-0.388035115812796,-0.275516374752525,48,"RIL",273
-0.537019650875278,-0.647999171455021,-0.426040130295535,49,"Conventional",273
-0.332279356278529,-0.387447676596793,-0.277111035960265,49,"RIL",273
-0.536651715937562,-0.646801633381285,-0.426501798493839,50,"Conventional",273
-0.332576446732346,-0.386677530076784,-0.278475363387907,50,"RIL",273
