"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",325
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",325
-0.557989955159831,-0.727561931085659,-0.388417979234004,1,"Conventional",325
-0.28639709748864,-0.558974424666149,-0.0138197703111322,1,"RIL",325
-0.556920823080317,-0.722897489802035,-0.390944156358599,2,"Conventional",325
-0.276618759709595,-0.523242224060218,-0.0299952953589719,2,"RIL",325
-0.555958200412764,-0.718763448774451,-0.393152952051076,3,"Conventional",325
-0.282333871560566,-0.509263067325219,-0.0554046757959138,3,"RIL",325
-0.555217337278329,-0.715622796955019,-0.39481187760164,4,"Conventional",325
-0.302905847540508,-0.513175832983122,-0.092635862097895,4,"RIL",325
-0.554833077823303,-0.714007571046278,-0.395658584600328,5,"Conventional",325
-0.326352576018336,-0.525565088560609,-0.127140063476063,5,"RIL",325
-0.554075864459037,-0.710851561887339,-0.397300167030736,6,"Conventional",325
-0.311292762416297,-0.497431440069777,-0.125154084762816,6,"RIL",325
-0.553377313691459,-0.707971075596857,-0.398783551786062,7,"Conventional",325
-0.323658872294311,-0.498981944458213,-0.148335800130409,7,"RIL",325
-0.552527740717225,-0.704507089256093,-0.400548392178356,8,"Conventional",325
-0.316187385420997,-0.480983137242211,-0.151391633599784,8,"RIL",325
-0.551937797094556,-0.70212651810305,-0.401749076086063,9,"Conventional",325
-0.328377940740656,-0.484891698123113,-0.171864183358199,9,"RIL",325
-0.551457342922886,-0.70020254163446,-0.402712144211312,10,"Conventional",325
-0.314098116105229,-0.463299629974754,-0.164896602235703,10,"RIL",325
-0.550639257638444,-0.696956556447989,-0.404321958828899,11,"Conventional",325
-0.315875998522573,-0.457312350085966,-0.174439646959179,11,"RIL",325
-0.549928083883767,-0.694165024977797,-0.405691142789738,12,"Conventional",325
-0.315601045317823,-0.45081261044375,-0.180389480191897,12,"RIL",325
-0.549208518140179,-0.691368707073079,-0.407048329207279,13,"Conventional",325
-0.313144658207507,-0.442339532167622,-0.183949784247393,13,"RIL",325
-0.548576489419411,-0.688935585506118,-0.408217393332703,14,"Conventional",325
-0.318166373725113,-0.442019537392904,-0.194313210057322,14,"RIL",325
-0.548483775345668,-0.688580456954894,-0.408387093736442,15,"Conventional",325
-0.304393247239087,-0.424622272408591,-0.184164222069582,15,"RIL",325
-0.547795830977769,-0.685959579029432,-0.409632082926107,16,"Conventional",325
-0.303310058586989,-0.418657247750864,-0.187962869423113,16,"RIL",325
-0.547520602759964,-0.684918000517419,-0.410123205002508,17,"Conventional",325
-0.312876911727145,-0.424739567987302,-0.201014255466988,17,"RIL",325
-0.547058677545203,-0.68317874714042,-0.410938607949987,18,"Conventional",325
-0.318592533721092,-0.426858139427663,-0.210326928014522,18,"RIL",325
-0.546476577669197,-0.681002734933784,-0.41195042040461,19,"Conventional",325
-0.320837584703073,-0.425349290520764,-0.216325878885382,19,"RIL",325
-0.545876093535577,-0.678776193315327,-0.412975993755827,20,"Conventional",325
-0.322738536845692,-0.423585121442823,-0.221891952248561,20,"RIL",325
-0.545398552287935,-0.677018597453888,-0.413778507121982,21,"Conventional",325
-0.318212060466892,-0.415954027900953,-0.220470093032831,21,"RIL",325
-0.544879690994896,-0.675121965814775,-0.414637416175018,22,"Conventional",325
-0.321802341181409,-0.416392731103294,-0.227211951259524,22,"RIL",325
-0.54448903716086,-0.673702882849183,-0.415275191472536,23,"Conventional",325
-0.325368079645409,-0.417609906205466,-0.233126253085353,23,"RIL",325
-0.544084447017491,-0.672241204778266,-0.415927689256716,24,"Conventional",325
-0.329710263805763,-0.419432198317783,-0.239988329293742,24,"RIL",325
-0.543534682106321,-0.670268054719813,-0.41680130949283,25,"Conventional",325
-0.329265778723344,-0.416243219904614,-0.242288337542074,25,"RIL",325
-0.543149823471943,-0.668895640066113,-0.417404006877774,26,"Conventional",325
-0.333543631144555,-0.418219598359475,-0.248867663929635,26,"RIL",325
-0.542847758956661,-0.667823556325447,-0.417871961587876,27,"Conventional",325
-0.328896420370658,-0.411675366506402,-0.246117474234914,27,"RIL",325
-0.54247407850921,-0.666503495879537,-0.418444661138883,28,"Conventional",325
-0.330650570904961,-0.411661271113417,-0.249639870696504,28,"RIL",325
-0.542630484190498,-0.667055188510417,-0.418205779870579,29,"Conventional",325
-0.322221187503394,-0.402259892197408,-0.24218248280938,29,"RIL",325
-0.542308090197027,-0.6659193089206,-0.418696871473455,30,"Conventional",325
-0.324677196642125,-0.403143826836327,-0.246210566447924,30,"RIL",325
-0.541940914048106,-0.664631814095245,-0.419250014000967,31,"Conventional",325
-0.321460118989981,-0.398126132026073,-0.244794105953889,31,"RIL",325
-0.541462728004278,-0.662964870328618,-0.419960585679938,32,"Conventional",325
-0.322117183267145,-0.396773305101568,-0.247461061432723,32,"RIL",325
-0.541023289886092,-0.661442741945013,-0.420603837827171,33,"Conventional",325
-0.323729269390202,-0.39653249433032,-0.250926044450085,33,"RIL",325
-0.540751168162917,-0.66050482861969,-0.420997507706144,34,"Conventional",325
-0.319547243640472,-0.390835563890025,-0.24825892339092,34,"RIL",325
-0.540619654713098,-0.660052820144206,-0.42118648928199,35,"Conventional",325
-0.314368910098251,-0.384458146485524,-0.244279673710977,35,"RIL",325
-0.540416598851656,-0.659356551070842,-0.421476646632471,36,"Conventional",325
-0.309897499113895,-0.378700179013077,-0.241094819214713,36,"RIL",325
-0.539997125863403,-0.657924447707439,-0.422069804019367,37,"Conventional",325
-0.309139036668256,-0.376379613125093,-0.24189846021142,37,"RIL",325
-0.539574789497423,-0.656491056722861,-0.422658522271985,38,"Conventional",325
-0.309989876952667,-0.375679251073031,-0.244300502832304,38,"RIL",325
-0.53966404743195,-0.656793286688748,-0.422534808175151,39,"Conventional",325
-0.315747511087725,-0.380758902682671,-0.250736119492779,39,"RIL",325
