"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",124
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",124
-0.558024282588386,-0.727712998732357,-0.388335566444416,1,"Conventional",124
-0.288373988420015,-0.56155184677186,-0.0151961300681706,1,"RIL",124
-0.556883151181514,-0.722734552791669,-0.391031749571358,2,"Conventional",124
-0.290732248646717,-0.53692155450195,-0.0445429427914837,2,"RIL",124
-0.555916274546078,-0.718584770036097,-0.393247779056059,3,"Conventional",124
-0.30281903908051,-0.528522525484812,-0.077115552676208,3,"RIL",124
-0.55490295580722,-0.714300623585653,-0.395505288028786,4,"Conventional",124
-0.300435278426591,-0.508308859515276,-0.092561697337906,4,"RIL",124
-0.554028195803109,-0.710654059728299,-0.39740233187792,5,"Conventional",124
-0.299201901533129,-0.493640323880463,-0.104763479185795,5,"RIL",124
-0.553198605324134,-0.707238881515653,-0.399158329132616,6,"Conventional",124
-0.309420044530522,-0.491323640340035,-0.127516448721009,6,"RIL",124
-0.552256670769654,-0.703410753909364,-0.401102587629944,7,"Conventional",124
-0.306955503881761,-0.476909808468548,-0.137001199294974,7,"RIL",124
-0.551514007578958,-0.700428771689495,-0.402599243468422,8,"Conventional",124
-0.317143367368848,-0.477418490336062,-0.156868244401633,8,"RIL",124
-0.550644002157161,-0.696975273525094,-0.404312730789228,9,"Conventional",124
-0.314392029317904,-0.465405241283579,-0.163378817352229,9,"RIL",124
-0.549916891234373,-0.694121312145203,-0.405712470323543,10,"Conventional",124
-0.309866657851021,-0.453599194419244,-0.166134121282797,10,"RIL",124
-0.549490306116922,-0.692460423797328,-0.406520188436516,11,"Conventional",124
-0.317493827256456,-0.456560474494948,-0.178427180017963,11,"RIL",124
-0.548771336093193,-0.689683409049266,-0.40785926313712,12,"Conventional",124
-0.323235527240541,-0.455589148324801,-0.190881906156281,12,"RIL",124
-0.548147776944807,-0.687297273445459,-0.408998280444154,13,"Conventional",124
-0.328157966410692,-0.455112423256663,-0.201203509564721,13,"RIL",124
-0.547510394881414,-0.684879445471794,-0.410141344291035,14,"Conventional",124
-0.321689392069161,-0.443112523736481,-0.200266260401842,14,"RIL",124
-0.546842975918574,-0.682370376890001,-0.411315574947148,15,"Conventional",124
-0.31692750143855,-0.433152782646781,-0.200702220230318,15,"RIL",124
-0.546570182037732,-0.681351471301385,-0.411788892774078,16,"Conventional",124
-0.327155446516411,-0.439675476364735,-0.214635416668087,16,"RIL",124
-0.545976490890914,-0.679147177772039,-0.41280580400979,17,"Conventional",124
-0.327548744202384,-0.436179236940972,-0.218918251463795,17,"RIL",124
-0.546347920072899,-0.680524134156899,-0.4121717059889,18,"Conventional",124
-0.342238088382424,-0.449379369827193,-0.235096806937655,18,"RIL",124
-0.546042414882671,-0.679391056644504,-0.412693773120838,19,"Conventional",124
-0.333763344040253,-0.43771577544324,-0.229810912637265,19,"RIL",124
-0.545747064166482,-0.678300160028128,-0.413193968304836,20,"Conventional",124
-0.32690002715596,-0.428228069252526,-0.225571985059394,20,"RIL",124
-0.545245551697466,-0.676457914832284,-0.414033188562647,21,"Conventional",124
-0.329731421301239,-0.428021005068131,-0.231441837534348,21,"RIL",124
-0.544797599038443,-0.674823126479309,-0.414772071597577,22,"Conventional",124
-0.324650902040105,-0.419939480831798,-0.229362323248412,22,"RIL",124
-0.544274335153853,-0.672926209571172,-0.415622460736534,23,"Conventional",124
-0.324121550875536,-0.416604230341148,-0.231638871409923,23,"RIL",124
-0.544157781506921,-0.672505540457661,-0.415810022556181,24,"Conventional",124
-0.315865120033322,-0.406334347686868,-0.225395892379775,24,"RIL",124
-0.543629024065657,-0.670605594011777,-0.416652454119537,25,"Conventional",124
-0.314054942938023,-0.401796497166893,-0.226313388709153,25,"RIL",124
-0.543217033682355,-0.669134783104012,-0.417299284260699,26,"Conventional",124
-0.309912443774357,-0.395290989633106,-0.224533897915607,26,"RIL",124
-0.54275192908971,-0.667484386140815,-0.418019472038605,27,"Conventional",124
-0.307311465563599,-0.390343715371773,-0.224279215755424,27,"RIL",124
-0.542264585842727,-0.665766419404569,-0.418762752280885,28,"Conventional",124
-0.307812928323347,-0.388621186681888,-0.227004669964806,28,"RIL",124
-0.541753361711849,-0.663976690796721,-0.419530032626977,29,"Conventional",124
-0.308684840658993,-0.387210727045269,-0.230158954272718,29,"RIL",124
-0.541440721545589,-0.662888422481545,-0.419993020609632,30,"Conventional",124
-0.31268867906898,-0.389458321228113,-0.235919036909847,30,"RIL",124
-0.541030009762867,-0.661465949175308,-0.420594070350425,31,"Conventional",124
-0.309646828417787,-0.384475842162446,-0.234817814673129,31,"RIL",124
-0.540943808390951,-0.661168428051003,-0.4207191887309,32,"Conventional",124
-0.304411680521044,-0.378196971033255,-0.230626390008834,32,"RIL",124
-0.54080501099653,-0.66069012419103,-0.42091989780203,33,"Conventional",124
-0.309279686993908,-0.381884682407259,-0.236674691580556,33,"RIL",124
-0.540759863271179,-0.660534739970322,-0.420984986572036,34,"Conventional",124
-0.314975247454017,-0.386523349820868,-0.243427145087166,34,"RIL",124
-0.540459436382967,-0.659503273814385,-0.421415598951548,35,"Conventional",124
-0.311318397030603,-0.381353717495704,-0.241283076565501,35,"RIL",124
-0.540120305702992,-0.65834411749688,-0.421896493909104,36,"Conventional",124
