"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",889
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",889
-0.557963753618276,-0.727446677117383,-0.388480830119169,1,"Conventional",889
-0.279974862456255,-0.55245125568903,-0.00749846922347924,1,"RIL",889
-0.556978889871196,-0.723148831003633,-0.39080894873876,2,"Conventional",889
-0.300798424481358,-0.546750451067207,-0.0548463978955102,2,"RIL",889
-0.556150606195153,-0.719584877975507,-0.3927163344148,3,"Conventional",889
-0.318102194040626,-0.545153499739949,-0.0910508883413037,3,"RIL",889
-0.555184066702699,-0.715482581737974,-0.394885551667424,4,"Conventional",889
-0.307926677342469,-0.517046847089918,-0.0988065075950198,4,"RIL",889
-0.554153175074746,-0.711172171609533,-0.397134178539959,5,"Conventional",889
-0.306672274528471,-0.499890836376386,-0.113453712680557,5,"RIL",889
-0.553231445397462,-0.707373290514469,-0.399089600280456,6,"Conventional",889
-0.301454603744487,-0.481738507285132,-0.121170700203842,6,"RIL",889
-0.552441972863821,-0.704159742140688,-0.400724203586954,7,"Conventional",889
-0.290800548391862,-0.460061451012412,-0.121539645771312,7,"RIL",889
-0.552074165437911,-0.702675013067376,-0.401473317808447,8,"Conventional",889
-0.309190902554703,-0.470323745400679,-0.148058059708727,8,"RIL",889
-0.551240313244157,-0.69933773920068,-0.403142887287634,9,"Conventional",889
-0.304696160166094,-0.456774829186752,-0.152617491145436,9,"RIL",889
-0.550830840096572,-0.697713351005715,-0.403948329187428,10,"Conventional",889
-0.318565096824371,-0.464155475060214,-0.172974718588529,10,"RIL",889
-0.550141669661287,-0.695000471001804,-0.405282868320769,11,"Conventional",889
-0.31189117818434,-0.450564859176467,-0.173217497192213,11,"RIL",889
-0.549377341324617,-0.692022254595236,-0.406732428053998,12,"Conventional",889
-0.309594187330326,-0.441676511863597,-0.177511862797055,12,"RIL",889
-0.548861753539605,-0.690031115665135,-0.407692391414076,13,"Conventional",889
-0.300366576174334,-0.427005940034895,-0.173727212313773,13,"RIL",889
-0.548772115382022,-0.689686404546483,-0.407857826217561,14,"Conventional",889
-0.314250920336296,-0.43723676699563,-0.191265073676963,14,"RIL",889
-0.548121500681008,-0.687197178544407,-0.409045822817609,15,"Conventional",889
-0.312408602117058,-0.430567217043878,-0.194249987190238,15,"RIL",889
