"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",359
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",359
-0.558230927698529,-0.728624160010725,-0.387837695386334,1,"Conventional",359
-0.245105465778913,-0.518850473013714,0.028639541455888,1,"RIL",359
-0.557514777788874,-0.725479151268934,-0.389550404308815,2,"Conventional",359
-0.276051573841473,-0.525629847892567,-0.0264732997903787,2,"RIL",359
-0.55696394891432,-0.723084138662769,-0.390843759165871,3,"Conventional",359
-0.305806703321038,-0.537035496526601,-0.0745779101154761,3,"RIL",359
-0.556505861358705,-0.721107914919252,-0.391903807798159,4,"Conventional",359
-0.332901151240569,-0.549553160233827,-0.116249142247311,4,"RIL",359
-0.555783653124555,-0.718020342319132,-0.393546963929979,5,"Conventional",359
-0.316394893265326,-0.518973992227335,-0.113815794303317,5,"RIL",359
-0.555053343195734,-0.714932323451862,-0.395174362939606,6,"Conventional",359
-0.300006317570359,-0.489460307526581,-0.110552327614137,6,"RIL",359
-0.554195930124626,-0.711349634984907,-0.397042225264346,7,"Conventional",359
-0.308288252647994,-0.48569271375318,-0.130883791542809,7,"RIL",359
-0.553401713793005,-0.708071198805781,-0.398732228780229,8,"Conventional",359
-0.299010589144212,-0.466056864690207,-0.131964313598217,8,"RIL",359
-0.552658505872391,-0.705037496952873,-0.400279514791909,9,"Conventional",359
-0.305412454434104,-0.463789331446707,-0.147035577421502,9,"RIL",359
-0.552705425562905,-0.705228055281393,-0.400182795844417,10,"Conventional",359
-0.327059501356195,-0.480046367249953,-0.174072635462437,10,"RIL",359
-0.552612423893043,-0.704850465266267,-0.400374382519819,11,"Conventional",359
-0.344972425760686,-0.492898337122211,-0.19704651439916,11,"RIL",359
-0.551865740626912,-0.701837127901936,-0.401894353351888,12,"Conventional",359
-0.348372715558634,-0.4892210207963,-0.207524410320969,12,"RIL",359
-0.551358121973535,-0.69980684763433,-0.40290939631274,13,"Conventional",359
-0.339649370497585,-0.475121609180592,-0.204177131814577,13,"RIL",359
-0.551163079726055,-0.699030637618155,-0.403295521833956,14,"Conventional",359
-0.352999346822399,-0.484256730730101,-0.221741962914697,14,"RIL",359
-0.550521873123146,-0.696493868201826,-0.404549878044466,15,"Conventional",359
-0.348388807765831,-0.47430617981202,-0.222471435719641,15,"RIL",359
-0.55017699489487,-0.695138890602199,-0.405215099187541,16,"Conventional",359
-0.358095381532079,-0.479949236271928,-0.236241526792231,16,"RIL",359
-0.549532621412793,-0.692624734572978,-0.406440508252609,17,"Conventional",359
-0.35579950188318,-0.472967471091406,-0.238631532674955,17,"RIL",359
-0.548886757001492,-0.690127351882113,-0.40764616212087,18,"Conventional",359
-0.354240877968885,-0.466998415271633,-0.241483340666138,18,"RIL",359
-0.54842317206024,-0.688348566133504,-0.408497777986976,19,"Conventional",359
-0.359480609218791,-0.468718867299564,-0.250242351138017,19,"RIL",359
-0.54784296986977,-0.686138370479206,-0.409547569260334,20,"Conventional",359
-0.36204892886949,-0.467544974325969,-0.256552883413012,20,"RIL",359
-0.54792167998975,-0.686437167491421,-0.40940619248808,21,"Conventional",359
-0.373194752197332,-0.476851360111531,-0.269538144283132,21,"RIL",359
-0.547443351190661,-0.684626359783136,-0.410260342598186,22,"Conventional",359
-0.36956276447852,-0.47019584403291,-0.268929684924131,22,"RIL",359
-0.547229971089445,-0.683822417175767,-0.410637525003123,23,"Conventional",359
-0.36241122595468,-0.460860229491261,-0.2639622224181,23,"RIL",359
-0.546799725928793,-0.68220857519748,-0.411390876660106,24,"Conventional",359
-0.357540283606447,-0.453175047219549,-0.261905519993345,24,"RIL",359
-0.54650644157409,-0.681113948723719,-0.411898934424461,25,"Conventional",359
-0.351501906424926,-0.444839720786252,-0.258164092063601,25,"RIL",359
-0.546074527907161,-0.679509935875667,-0.412639119938655,26,"Conventional",359
-0.34984176410634,-0.440913595111369,-0.258769933101312,26,"RIL",359
-0.54563980502734,-0.677905087338919,-0.41337452271576,27,"Conventional",359
-0.347092994650344,-0.435828553735591,-0.258357435565098,27,"RIL",359
-0.545235612687271,-0.676421533269147,-0.414049692105395,28,"Conventional",359
-0.349014471743964,-0.435702643025328,-0.2623263004626,28,"RIL",359
-0.545084767358866,-0.675869978448808,-0.414299556268923,29,"Conventional",359
-0.342440360928825,-0.427449737690909,-0.257430984166741,29,"RIL",359
-0.544630401854756,-0.674215523550795,-0.415045280158717,30,"Conventional",359
-0.340416253762029,-0.423237769205647,-0.25759473831841,30,"RIL",359
-0.544313171633536,-0.67306652923335,-0.415559814033722,31,"Conventional",359
-0.344450212443435,-0.425451142664515,-0.263449282222354,31,"RIL",359
-0.544357244857572,-0.673225860712376,-0.415488629002769,32,"Conventional",359
-0.351758513263321,-0.431659054912304,-0.271857971614338,32,"RIL",359
-0.544104125649195,-0.672312111571464,-0.415896139726925,33,"Conventional",359
-0.347057016384752,-0.42533523483814,-0.268778797931364,33,"RIL",359
-0.543749158578187,-0.67103603050452,-0.416462286651855,34,"Conventional",359
-0.347159867360379,-0.423945841423492,-0.270373893297266,34,"RIL",359
-0.543310912762164,-0.669469183649196,-0.417152641875132,35,"Conventional",359
-0.346813417927281,-0.421761432224939,-0.271865403629622,35,"RIL",359
-0.542893918793411,-0.667987105461385,-0.417800732125437,36,"Conventional",359
-0.347538541219648,-0.420809589979543,-0.274267492459752,36,"RIL",359
-0.542555056703879,-0.666788983220521,-0.418321130187237,37,"Conventional",359
-0.348673065009609,-0.420573096923735,-0.276773033095482,37,"RIL",359
-0.542122973950716,-0.665269384601596,-0.418976563299836,38,"Conventional",359
-0.348470963925572,-0.418708737404866,-0.278233190446279,38,"RIL",359
-0.541773740969224,-0.664047774016875,-0.419499707921573,39,"Conventional",359
-0.347359022837928,-0.416257041305653,-0.278461004370202,39,"RIL",359
-0.541547457751732,-0.66325942871735,-0.419835486786113,40,"Conventional",359
-0.344007898480544,-0.411769317674688,-0.2762464792864,40,"RIL",359
-0.541159938875091,-0.661915070180326,-0.420404807569855,41,"Conventional",359
-0.343251678788793,-0.409596915889265,-0.276906441688321,41,"RIL",359
