"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",717
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",717
-0.558035517499573,-0.727762455800506,-0.388308579198641,1,"Conventional",717
-0.275935726836168,-0.550751815482892,-0.00111963818944477,1,"RIL",717
-0.556951329939775,-0.723029512293517,-0.390873147586032,2,"Conventional",717
-0.270347843257196,-0.518697029107569,-0.0219986574068227,2,"RIL",717
-0.555850889166236,-0.718306356608208,-0.393395421724265,3,"Conventional",717
-0.266442827492151,-0.492197133536915,-0.0406885214473879,3,"RIL",717
-0.554838821880655,-0.714031659371386,-0.395645984389924,4,"Conventional",717
-0.275081352206541,-0.482568884255786,-0.0675938201572971,4,"RIL",717
-0.553895396630886,-0.710104575225169,-0.397686218036603,5,"Conventional",717
-0.284375625836398,-0.476535041610191,-0.0922162100626048,5,"RIL",717
-0.553188209632933,-0.707196342139897,-0.399180077125968,6,"Conventional",717
-0.300040008383797,-0.48011467587444,-0.119965340893153,6,"RIL",717
-0.552357408480753,-0.703817685877262,-0.400897131084244,7,"Conventional",717
-0.294659938888324,-0.464053072863606,-0.125266804913042,7,"RIL",717
-0.551441535186433,-0.700139462780384,-0.402743607592483,8,"Conventional",717
-0.294618982165998,-0.453647655519561,-0.135590308812435,8,"RIL",717
-0.550598190753047,-0.696794598416491,-0.404401783089603,9,"Conventional",717
-0.298468561418339,-0.448527047994467,-0.148410074842211,9,"RIL",717
-0.549856339360844,-0.693884954087423,-0.405827724634264,10,"Conventional",717
-0.306113941847358,-0.448303962732604,-0.163923920962111,10,"RIL",717
-0.549140835575158,-0.69110712510984,-0.407174546040477,11,"Conventional",717
-0.300620340097657,-0.43599434303217,-0.165246337163143,11,"RIL",717
-0.548519171584005,-0.688715981778324,-0.408322361389686,12,"Conventional",717
-0.293718726791868,-0.423170171769874,-0.164267281813863,12,"RIL",717
-0.547843400263081,-0.686140004058603,-0.40954679646756,13,"Conventional",717
-0.298978197514955,-0.422706366272945,-0.175250028756966,13,"RIL",717
-0.547092383412695,-0.683305288602002,-0.410879478223387,14,"Conventional",717
-0.300795971773731,-0.41888347159095,-0.182708471956513,14,"RIL",717
-0.546388295288789,-0.680674235704558,-0.41210235487302,15,"Conventional",717
-0.302673723545255,-0.415792891895159,-0.189554555195351,15,"RIL",717
-0.546191134282803,-0.679942041744649,-0.412440226820957,16,"Conventional",717
-0.292071224171513,-0.401867433814148,-0.182275014528878,16,"RIL",717
-0.545535222630812,-0.677520432861161,-0.413550012400464,17,"Conventional",717
-0.288979887382228,-0.394409612505163,-0.183550162259293,17,"RIL",717
-0.544978859055384,-0.675483416131086,-0.414474301979683,18,"Conventional",717
-0.290396107422791,-0.392393467353375,-0.188398747492207,18,"RIL",717
-0.544508156748824,-0.673772162569901,-0.415244150927747,19,"Conventional",717
-0.294990674109174,-0.393848228017118,-0.19613312020123,19,"RIL",717
-0.543876498476024,-0.671493103168437,-0.416259893783612,20,"Conventional",717
