"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",307
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",307
-0.558142334839283,-0.72823315805552,-0.388051511623046,1,"Conventional",307
-0.26650113450784,-0.543757768711885,0.010755499696205,1,"RIL",307
-0.557049045616401,-0.723452799130697,-0.390645292102104,2,"Conventional",307
-0.277438041673021,-0.527109544801963,-0.02776653854408,2,"RIL",307
-0.55631753440869,-0.72029949587642,-0.392335572940959,3,"Conventional",307
-0.304562597405661,-0.533365852079502,-0.0757593427318186,3,"RIL",307
-0.555368159751838,-0.716259321778275,-0.394476997725402,4,"Conventional",307
-0.297435947596774,-0.508836997972783,-0.086034897220765,4,"RIL",307
-0.554405142738465,-0.71221962933002,-0.396590656146909,5,"Conventional",307
-0.29903725403929,-0.495338190760451,-0.102736317318129,5,"RIL",307
-0.55343700429394,-0.708216068169006,-0.398657940418875,6,"Conventional",307
-0.300805781967398,-0.483428122913384,-0.118183441021412,6,"RIL",307
-0.552745038678461,-0.705389039648182,-0.400101037708739,7,"Conventional",307
-0.31553101712995,-0.487196218909147,-0.143865815350753,7,"RIL",307
-0.552283126233166,-0.703517563816187,-0.401048688650144,8,"Conventional",307
-0.332608102750684,-0.495708798034817,-0.169507407466552,8,"RIL",307
-0.551544869382701,-0.700552057365266,-0.402537681400136,9,"Conventional",307
-0.32442291348404,-0.478707366008165,-0.170138460959916,9,"RIL",307
-0.550780331534636,-0.697513632414604,-0.404047030654667,10,"Conventional",307
-0.317951505991281,-0.464069134809092,-0.17183387717347,10,"RIL",307
-0.549963569666325,-0.694303657019805,-0.405623482312845,11,"Conventional",307
-0.31854617452317,-0.457125007917024,-0.179967341129316,11,"RIL",307
-0.549228350274233,-0.691445401530227,-0.40701129901824,12,"Conventional",307
-0.315521728001318,-0.447636004137363,-0.183407451865272,12,"RIL",307
-0.548650619237906,-0.689219855712232,-0.408081382763579,13,"Conventional",307
-0.307977901428113,-0.434509838867157,-0.18144596398907,13,"RIL",307
-0.548014764221788,-0.686790949432154,-0.409238579011422,14,"Conventional",307
-0.30262982540416,-0.423825654864931,-0.181433995943389,14,"RIL",307
-0.54735069551747,-0.684276973733702,-0.410424417301238,15,"Conventional",307
-0.300781419083955,-0.417114528312392,-0.184448309855518,15,"RIL",307
-0.546700900421179,-0.681839229631371,-0.411562571210987,16,"Conventional",307
-0.303075895071062,-0.414906470462192,-0.191245319679932,16,"RIL",307
-0.546093146494528,-0.679578881677883,-0.412607411311172,17,"Conventional",307
-0.30035410440791,-0.408048700922155,-0.192659507893665,17,"RIL",307
-0.545515889736,-0.677449387708455,-0.413582391763545,18,"Conventional",307
-0.298074506297092,-0.402048047357569,-0.194100965236615,18,"RIL",307
-0.544941706811024,-0.675347941852324,-0.414535471769724,19,"Conventional",307
-0.29804913887495,-0.398593612193464,-0.197504665556436,19,"RIL",307
-0.544982510113701,-0.675496733107843,-0.414468287119559,20,"Conventional",307
-0.287833765340646,-0.386568703162908,-0.189098827518385,20,"RIL",307
-0.544445369675397,-0.673544729450602,-0.415346009900193,21,"Conventional",307
-0.290589015858124,-0.386172609840448,-0.1950054218758,21,"RIL",307
-0.543842778345002,-0.671371995609568,-0.416313561080436,22,"Conventional",307
-0.290212530704418,-0.382549102755402,-0.197875958653434,22,"RIL",307
-0.543349227297865,-0.669605800703913,-0.417092653891817,23,"Conventional",307
-0.294130582521504,-0.38359639548256,-0.204664769560449,23,"RIL",307
-0.543204804760682,-0.669091257239404,-0.41731835228196,24,"Conventional",307
-0.301181555110284,-0.388896388070951,-0.213466722149617,24,"RIL",307
-0.542721752836258,-0.667377672880477,-0.41806583279204,25,"Conventional",307
-0.298259374017566,-0.383413249885169,-0.213105498149963,25,"RIL",307
-0.542242222880739,-0.665687863520042,-0.418796582241435,26,"Conventional",307
-0.297009068406813,-0.379868933377797,-0.214149203435829,26,"RIL",307
-0.541781254640001,-0.664074015034094,-0.419488494245908,27,"Conventional",307
-0.294884055106129,-0.375529236358973,-0.214238873853284,27,"RIL",307
