"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",515
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",515
-0.557996456551193,-0.727590533356363,-0.388402379746024,1,"Conventional",515
-0.268591276866293,-0.541600069019392,0.00441751528680584,1,"RIL",515
-0.557024068356904,-0.723344541522501,-0.390703595191307,2,"Conventional",515
-0.247175137398355,-0.49358972554616,-0.00076054925054983,2,"RIL",515
-0.556263279125094,-0.720067030003588,-0.392459528246601,3,"Conventional",515
-0.271274878487778,-0.497645757453533,-0.0449039995220232,3,"RIL",515
-0.55552349696131,-0.716916407615854,-0.394130586306766,4,"Conventional",515
-0.291537843825991,-0.501407028160116,-0.0816686594918661,4,"RIL",515
-0.554603154693428,-0.713045530814049,-0.396160778572807,5,"Conventional",515
-0.302186400777196,-0.496715114153454,-0.107657687400937,5,"RIL",515
-0.553745146557251,-0.70948417176928,-0.398006121345222,6,"Conventional",515
-0.310604148089085,-0.49255631496253,-0.12865198121564,6,"RIL",515
-0.553088483539642,-0.706788637750249,-0.399388329329036,7,"Conventional",515
-0.297187560391629,-0.468907219129475,-0.125467901653782,7,"RIL",515
-0.55234445434007,-0.703765325050556,-0.400923583629584,8,"Conventional",515
-0.306627690436875,-0.46883369634927,-0.14442168452448,8,"RIL",515
-0.551736397452952,-0.701318407666355,-0.40215438723955,9,"Conventional",515
-0.296831470615217,-0.45134850747921,-0.142314433751224,9,"RIL",515
-0.550953184269009,-0.69819771060287,-0.403708657935149,10,"Conventional",515
-0.299759923586026,-0.446438290225651,-0.153081556946401,10,"RIL",515
-0.550164313818405,-0.695089196248422,-0.405239431388389,11,"Conventional",515
-0.299220783524528,-0.438595769627117,-0.159845797421939,11,"RIL",515
-0.54938453718672,-0.692050144594712,-0.406718929778728,12,"Conventional",515
-0.299350677324666,-0.432007408672761,-0.16669394597657,12,"RIL",515
-0.548696625275011,-0.689396429119954,-0.407996821430068,13,"Conventional",515
-0.302404400975991,-0.429341037949247,-0.175467764002734,13,"RIL",515
-0.548039338008892,-0.686884421678867,-0.409194254338917,14,"Conventional",515
-0.306632293139253,-0.428256713512924,-0.185007872765582,14,"RIL",515
-0.547412756197501,-0.684510943512742,-0.41031456888226,15,"Conventional",515
-0.30183113662799,-0.41854952919885,-0.18511274405713,15,"RIL",515
-0.546704531522373,-0.681852798376938,-0.411556264667809,16,"Conventional",515
-0.302830698519391,-0.414638394306233,-0.191023002732549,16,"RIL",515
-0.546107563524222,-0.679632285090044,-0.4125828419584,17,"Conventional",515
-0.303631430977004,-0.411540657283237,-0.195722204670771,17,"RIL",515
-0.546134688886535,-0.679732786632421,-0.412536591140648,18,"Conventional",515
-0.315713703869346,-0.421182998486253,-0.21024440925244,18,"RIL",515
-0.545555877493125,-0.677596359756047,-0.413515395230202,19,"Conventional",515
-0.312009172725229,-0.41367888932813,-0.210339456122328,19,"RIL",515
-0.545094999120634,-0.67590735432181,-0.414282643919457,20,"Conventional",515
-0.306729037186987,-0.405166698004804,-0.20829137636917,20,"RIL",515
-0.544502648729027,-0.673752204283454,-0.415253093174601,21,"Conventional",515
-0.304592905460366,-0.399627314561357,-0.209558496359375,21,"RIL",515
-0.544191729096064,-0.672627995672724,-0.415755462519404,22,"Conventional",515
-0.310994569060766,-0.403522675654291,-0.218466462467241,22,"RIL",515
-0.543830676022836,-0.671328542743971,-0.416332809301701,23,"Conventional",515
-0.306369783027719,-0.39656556560468,-0.216174000450757,23,"RIL",515
-0.543461402118736,-0.670006173558937,-0.416916630678536,24,"Conventional",515
-0.310755747846384,-0.398695340026952,-0.222816155665816,24,"RIL",515
-0.543662576485133,-0.67072574400516,-0.416599408965106,25,"Conventional",515
-0.320526410290989,-0.407355727224662,-0.233697093357315,25,"RIL",515
-0.543164493855925,-0.668947821180802,-0.417381166531048,26,"Conventional",515
-0.322453554368339,-0.406809622749629,-0.238097485987049,26,"RIL",515
-0.542817144634095,-0.66771516165409,-0.4179191276141,27,"Conventional",515
-0.318892398478306,-0.401326528392859,-0.236458268563753,27,"RIL",515
-0.542439563776615,-0.6663819078835,-0.418497219669729,28,"Conventional",515
-0.322641285491775,-0.4030347483169,-0.242247822666651,28,"RIL",515
-0.54193346466609,-0.664605761431759,-0.419261167900422,29,"Conventional",515
-0.322715722629432,-0.400882795054577,-0.244548650204288,29,"RIL",515
-0.541865733938902,-0.664369004612201,-0.419362463265602,30,"Conventional",515
-0.329237295206159,-0.406081463675842,-0.252393126736477,30,"RIL",515
-0.541444451439655,-0.662901371948958,-0.419987530930352,31,"Conventional",515
-0.331383722811145,-0.406349965291888,-0.256417480330402,31,"RIL",515
-0.541168413733631,-0.66194439388635,-0.420392433580913,32,"Conventional",515
-0.327229894665478,-0.400610894719942,-0.253848894611014,32,"RIL",515
-0.541204126708974,-0.662067996264486,-0.420340257153462,33,"Conventional",515
-0.321713684834225,-0.394427154875604,-0.249000214792846,33,"RIL",515
-0.541260171187651,-0.66226209600233,-0.420258246372972,34,"Conventional",515
-0.328013150901171,-0.399908187072017,-0.256118114730325,34,"RIL",515
-0.541045881269237,-0.661520768027729,-0.420570994510744,35,"Conventional",515
-0.323685524918974,-0.394225807514555,-0.253145242323393,35,"RIL",515
-0.540599395670607,-0.659983263089132,-0.421215528252082,36,"Conventional",515
-0.324098572129355,-0.392951838847768,-0.255245305410943,36,"RIL",515
-0.540470342848332,-0.659540644282534,-0.421400041414129,37,"Conventional",515
-0.319629451662565,-0.387429020858927,-0.251829882466202,37,"RIL",515
-0.540154648121558,-0.658461251669051,-0.421848044574064,38,"Conventional",515
-0.317330089693867,-0.383823598436434,-0.2508365809513,38,"RIL",515
-0.539808735492049,-0.657284009624538,-0.42233346135956,39,"Conventional",515
-0.316205742351062,-0.381426864195213,-0.250984620506911,39,"RIL",515
-0.539706022830935,-0.656935546105097,-0.422476499556774,40,"Conventional",515
-0.312220725258908,-0.376597926764921,-0.247843523752894,40,"RIL",515
-0.539962235800656,-0.657805710639512,-0.422118760961801,41,"Conventional",515
-0.30596076066659,-0.370045251977853,-0.241876269355326,41,"RIL",515
-0.539824553356003,-0.657337717602581,-0.422311389109424,42,"Conventional",515
-0.302020691215322,-0.365146539111518,-0.238894843319127,42,"RIL",515
-0.539658780883575,-0.656775442121057,-0.422542119646093,43,"Conventional",515
-0.304305049481073,-0.366723158050372,-0.241886940911774,43,"RIL",515
-0.539275211526172,-0.655479447910375,-0.423070975141968,44,"Conventional",515
-0.303748117386622,-0.364890026850169,-0.242606207923075,44,"RIL",515
-0.53890684911139,-0.654241406774704,-0.423572291448075,45,"Conventional",515
-0.303124440785439,-0.363057754238829,-0.24319112733205,45,"RIL",515
-0.539064729270991,-0.654771249225165,-0.423358209316818,46,"Conventional",515
-0.298090970056391,-0.357711992753972,-0.23846994735881,46,"RIL",515
-0.538830328260998,-0.653985037305804,-0.423675619216191,47,"Conventional",515
-0.296597701116913,-0.355409052914908,-0.237786349318918,47,"RIL",515
-0.5387562271544,-0.65373704041698,-0.42377541389182,48,"Conventional",515
-0.300368389535201,-0.358491714248921,-0.24224506482148,48,"RIL",515
-0.538501216720849,-0.652885554073254,-0.424116879368443,49,"Conventional",515
-0.301216079904134,-0.358538974937713,-0.243893184870555,49,"RIL",515
-0.538456058818571,-0.652735091694963,-0.424177025942179,50,"Conventional",515
-0.297381736433264,-0.354065527897303,-0.240697944969225,50,"RIL",515
