"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",97
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",97
-0.558031963765103,-0.727746815348748,-0.388317112181457,1,"Conventional",97
-0.284376283872945,-0.558445065081961,-0.0103075026639282,1,"RIL",97
-0.556923000756078,-0.722906916224217,-0.39093908528794,2,"Conventional",97
-0.281652604379966,-0.529165116419989,-0.0341400923399436,2,"RIL",97
-0.55597137493373,-0.718819619009491,-0.39312313085797,3,"Conventional",97
-0.267978065771118,-0.494696138302471,-0.0412599932397651,3,"RIL",97
-0.555050811396587,-0.714921677242683,-0.395179945550492,4,"Conventional",97
-0.278539248808751,-0.488100391347612,-0.0689781062698905,4,"RIL",97
-0.554226559196602,-0.711476835815088,-0.396976282578117,5,"Conventional",97
-0.289843263980012,-0.485388832560544,-0.0942976953994806,5,"RIL",97
-0.553411415137038,-0.708111014336928,-0.398711815937147,6,"Conventional",97
-0.300848601978694,-0.483735165604047,-0.117962038353341,6,"RIL",97
-0.552924069465429,-0.706117754234155,-0.399730384696703,7,"Conventional",97
-0.281395744278078,-0.454029834217337,-0.108761654338818,7,"RIL",97
-0.552009438119384,-0.702414535859084,-0.401604340379684,8,"Conventional",97
-0.282825667665516,-0.44478747270885,-0.120863862622181,8,"RIL",97
-0.551727754744167,-0.701283784597806,-0.402171724890527,9,"Conventional",97
-0.301205246350365,-0.455991573199808,-0.146418919500922,9,"RIL",97
-0.550969101153973,-0.698260787281084,-0.403677415026863,10,"Conventional",97
-0.299555143937178,-0.446767570361144,-0.152342717513211,10,"RIL",97
-0.550492615741874,-0.696378659177881,-0.404606572305868,11,"Conventional",97
-0.311892366618934,-0.45259640333546,-0.171188329902408,11,"RIL",97
-0.549726761912907,-0.6933798304731,-0.406073693352714,12,"Conventional",97
-0.314356117181448,-0.448291102076749,-0.180421132286147,12,"RIL",97
-0.54902907656235,-0.690675735613293,-0.407382417511406,13,"Conventional",97
-0.310267597483816,-0.438202484778317,-0.182332710189316,13,"RIL",97
-0.548407930933367,-0.688290283319574,-0.40852557854716,14,"Conventional",97
-0.305189492744765,-0.427891354321125,-0.182487631168405,14,"RIL",97
-0.547730233456475,-0.685710972776331,-0.409749494136618,15,"Conventional",97
-0.308959707636292,-0.42647381279425,-0.191445602478333,15,"RIL",97
-0.547515413540967,-0.684898401211814,-0.410132425870119,16,"Conventional",97
-0.297845813441088,-0.411792858661416,-0.18389876822076,16,"RIL",97
-0.546858636061479,-0.682428984448802,-0.411288287674156,17,"Conventional",97
-0.300342857347521,-0.409770287185119,-0.190915427509923,17,"RIL",97
-0.546404711296144,-0.680735290491191,-0.412074132101097,18,"Conventional",97
-0.303658967250158,-0.410010765394342,-0.197307169105974,18,"RIL",97
-0.545774744790702,-0.678402208800958,-0.413147280780445,19,"Conventional",97
-0.305280487361806,-0.407725533725744,-0.202835440997868,19,"RIL",97
-0.545658392010862,-0.677973506993761,-0.413343277027963,20,"Conventional",97
-0.296089388263196,-0.396230460290694,-0.195948316235698,20,"RIL",97
-0.545294273148284,-0.676636327534584,-0.413952218761983,21,"Conventional",97
-0.289899702133573,-0.387205101497652,-0.192594302769493,21,"RIL",97
-0.544722626635909,-0.674550498377068,-0.414894754894751,22,"Conventional",97
