"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",573
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",573
-0.557967020599184,-0.727461045185584,-0.388472996012783,1,"Conventional",573
-0.284462930582408,-0.55663165285618,-0.0122942083086355,1,"RIL",573
-0.557326737748987,-0.724659232825185,-0.38999424267279,2,"Conventional",573
-0.319289962967623,-0.567345326119271,-0.0712345998159745,2,"RIL",573
-0.556354829630046,-0.720459405464117,-0.392250253795974,3,"Conventional",573
-0.307175690641823,-0.534424319531783,-0.0799270617518633,3,"RIL",573
-0.555383898705125,-0.716325828727085,-0.394441968683164,4,"Conventional",573
-0.318445906142809,-0.527583439603072,-0.109308372682547,4,"RIL",573
-0.554394822876688,-0.712176650394129,-0.396612995359247,5,"Conventional",573
-0.320591479833294,-0.514437721099849,-0.12674523856674,5,"RIL",573
-0.553522286501614,-0.708566458818231,-0.398478114184997,6,"Conventional",573
-0.329878405320486,-0.510928541201236,-0.148828269439736,6,"RIL",573
-0.552711023562266,-0.705250799370023,-0.400171247754509,7,"Conventional",573
-0.330716523964479,-0.501673540076342,-0.159759507852615,7,"RIL",573
-0.551982918529168,-0.702307871808538,-0.401657965249797,8,"Conventional",573
-0.322405948679879,-0.484191495629809,-0.160620401729948,8,"RIL",573
-0.551301408274411,-0.69958092245546,-0.403021894093362,9,"Conventional",573
-0.314214129410126,-0.467910607112807,-0.160517651707445,9,"RIL",573
-0.550750555609561,-0.697395960260518,-0.404105150958604,10,"Conventional",573
-0.322404756506313,-0.469815834625687,-0.174993678386939,10,"RIL",573
-0.54999867070246,-0.694440852051356,-0.405556489353564,11,"Conventional",573
-0.317321355010574,-0.457356413266354,-0.177286296754793,11,"RIL",573
-0.549237744442261,-0.691481737163797,-0.406993751720724,12,"Conventional",573
-0.320210601832835,-0.453531225311077,-0.186889978354593,12,"RIL",573
-0.548501500605428,-0.688648315405512,-0.408354685805343,13,"Conventional",573
-0.323998097432412,-0.451116427433966,-0.196879767430857,13,"RIL",573
-0.547779336731294,-0.68589704734992,-0.409661626112669,14,"Conventional",573
-0.323145612297557,-0.444687184082618,-0.201604040512496,14,"RIL",573
-0.547536502833816,-0.684978066210033,-0.4100949394576,15,"Conventional",573
-0.332544872405867,-0.450923958676957,-0.214165786134778,15,"RIL",573
-0.54708654808066,-0.683283378224498,-0.410889717936822,16,"Conventional",573
-0.324555489372549,-0.438746966394347,-0.210364012350752,16,"RIL",573
-0.546568231340666,-0.681344200234569,-0.411792262446764,17,"Conventional",573
-0.318225721772912,-0.428285871800809,-0.208165571745016,17,"RIL",573
-0.546184410858073,-0.67991710770425,-0.412451714011896,18,"Conventional",573
-0.325029555169293,-0.431812520275325,-0.218246590063261,18,"RIL",573
-0.545557493097471,-0.677602294852697,-0.413512691342245,19,"Conventional",573
-0.327022805876401,-0.429884494395644,-0.224161117357159,19,"RIL",573
-0.545061045064602,-0.675783344494509,-0.414338745634696,20,"Conventional",573
-0.327562749769654,-0.427493878953574,-0.227631620585735,20,"RIL",573
-0.544684223188965,-0.674410959979371,-0.414957486398558,21,"Conventional",573
-0.321772319620075,-0.418937930675548,-0.224606708564601,21,"RIL",573
-0.544205128587199,-0.672676345901326,-0.415733911273071,22,"Conventional",573
-0.316943981559643,-0.411038794057004,-0.222849169062282,22,"RIL",573
-0.543720686158004,-0.670933965929084,-0.416507406386923,23,"Conventional",573
-0.313114948819507,-0.404373751170575,-0.221856146468438,23,"RIL",573
-0.543133484096177,-0.668837534283245,-0.417429433909109,24,"Conventional",573
-0.312334254046354,-0.400606509594542,-0.224061998498166,24,"RIL",573
-0.542874861959104,-0.667919576505357,-0.417830147412851,25,"Conventional",573
-0.306424400827803,-0.392675489498155,-0.220173312157451,25,"RIL",573
-0.54269246811327,-0.667274153624135,-0.418110782602404,26,"Conventional",573
-0.299746867604055,-0.384165571675755,-0.215328163532355,26,"RIL",573
-0.542325566042705,-0.665980752014526,-0.418670380070884,27,"Conventional",573
-0.295945584192606,-0.378341359553144,-0.213549808832067,27,"RIL",573
-0.541947243088088,-0.664653949809488,-0.419240536366688,28,"Conventional",573
-0.291623586977407,-0.371902052646927,-0.211345121307887,28,"RIL",573
-0.541711565347288,-0.663830928547526,-0.41959220214705,29,"Conventional",573
-0.286138496727244,-0.364665925604425,-0.207611067850064,29,"RIL",573
-0.54133377250433,-0.662517228369381,-0.420150316639279,30,"Conventional",573
-0.282565105087528,-0.359193335385632,-0.205936874789424,30,"RIL",573
-0.540943487098247,-0.661167296121343,-0.420719678075151,31,"Conventional",573
-0.284227378090104,-0.35916945086309,-0.209285305317117,31,"RIL",573
-0.540458795924265,-0.659501080310477,-0.421416511538053,32,"Conventional",573
-0.284765381485574,-0.357732153286434,-0.211798609684715,32,"RIL",573
-0.540041356620927,-0.658075057231922,-0.422007656009932,33,"Conventional",573
-0.287122912358709,-0.3582859932008,-0.215959831516618,33,"RIL",573
-0.540042655975631,-0.65807948355522,-0.422005828396043,34,"Conventional",573
-0.281051111444929,-0.351244828306289,-0.210857394583569,34,"RIL",573
-0.539841629779773,-0.657395712239729,-0.422287547319818,35,"Conventional",573
-0.284644004896496,-0.353707651086584,-0.215580358706408,35,"RIL",573
-0.539624224705876,-0.656658396832906,-0.422590052578847,36,"Conventional",573
-0.288669282438469,-0.356440075281874,-0.220898489595064,36,"RIL",573
-0.539231529833999,-0.655332303823247,-0.423130755844752,37,"Conventional",573
-0.287032991067759,-0.353325503738761,-0.220740478396758,37,"RIL",573
-0.539045635603192,-0.654707108778834,-0.42338416242755,38,"Conventional",573
-0.290031769008511,-0.355391869195659,-0.224671668821363,38,"RIL",573
-0.538659359279887,-0.653413222002643,-0.423905496557132,39,"Conventional",573
-0.290752257075818,-0.354756113916326,-0.22674840023531,39,"RIL",573
-0.53826855719115,-0.652111377665217,-0.424425736717084,40,"Conventional",573
-0.29221450305247,-0.35481951214751,-0.229609493957429,40,"RIL",573
-0.538025849660047,-0.651306468444736,-0.424745230875359,41,"Conventional",573
-0.288828294487888,-0.350303226698837,-0.22735336227694,41,"RIL",573
-0.537632230184702,-0.650007023666623,-0.425257436702782,42,"Conventional",573
-0.288963817260552,-0.349157846663736,-0.228769787857369,42,"RIL",573
-0.537381436347261,-0.649182869814528,-0.425580002879993,43,"Conventional",573
-0.288382336954272,-0.34778064718918,-0.228984026719363,43,"RIL",573
-0.537022278560522,-0.648007747481866,-0.426036809639179,44,"Conventional",573
-0.288861008767642,-0.347126725833436,-0.230595291701848,44,"RIL",573
-0.536629675458615,-0.646730096966284,-0.426529253950946,45,"Conventional",573
-0.288835079091921,-0.345900380857754,-0.231769777326087,45,"RIL",573
-0.536338097001193,-0.64578586789998,-0.426890326102407,46,"Conventional",573
-0.288526635386191,-0.344720957536332,-0.232332313236051,46,"RIL",573
-0.535947262485935,-0.644526425216383,-0.427368099755487,47,"Conventional",573
-0.289123902928172,-0.34416042893485,-0.234087376921494,47,"RIL",573
-0.535599831216166,-0.643412804909012,-0.427786857523319,48,"Conventional",573
-0.28780045919708,-0.341785240769602,-0.233815677624559,48,"RIL",573
-0.535240511856781,-0.642266968059614,-0.428214055653948,49,"Conventional",573
-0.287445978046683,-0.340425386177895,-0.234466569915472,49,"RIL",573
-0.534944004684244,-0.641325930303721,-0.428562079064767,50,"Conventional",573
-0.288781531103207,-0.340872231919586,-0.236690830286828,50,"RIL",573
