"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",525
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",525
-0.558208678443946,-0.728525911220916,-0.387891445666976,1,"Conventional",525
-0.248413667824115,-0.522880626495398,0.0260532908471671,1,"RIL",525
-0.557139378172434,-0.723844676374986,-0.390434079969883,2,"Conventional",525
-0.262673276441966,-0.51002915998156,-0.0153173929023726,2,"RIL",525
-0.556082005849953,-0.71929173047071,-0.392872281229196,3,"Conventional",525
-0.252982177221868,-0.478299674907667,-0.02766467953607,3,"RIL",525
-0.55509248179189,-0.71509695795996,-0.39508800562382,4,"Conventional",525
-0.244781680255844,-0.452246827591554,-0.0373165329201335,4,"RIL",525
-0.554378177874948,-0.712107346953758,-0.396649008796138,5,"Conventional",525
-0.262792558729855,-0.456209339230084,-0.0693757782296262,5,"RIL",525
-0.553411066772436,-0.70810958593274,-0.398712547612133,6,"Conventional",525
-0.263312873807651,-0.443541524388125,-0.0830842232271767,6,"RIL",525
-0.552544026704053,-0.704573093605999,-0.400514959802108,7,"Conventional",525
-0.268796539304472,-0.437988623572403,-0.0996044550365421,7,"RIL",525
-0.551716544652018,-0.701238872072149,-0.402194217231888,8,"Conventional",525
-0.26583133251296,-0.425574096832204,-0.106088568193716,8,"RIL",525
-0.550956744570129,-0.698211818566863,-0.403701670573395,9,"Conventional",525
-0.273653481623622,-0.424706818880033,-0.122600144367211,9,"RIL",525
-0.550615967824669,-0.696864694312509,-0.404367241336828,10,"Conventional",525
-0.288626244972579,-0.433470692782661,-0.143781797162498,10,"RIL",525
-0.55016092650512,-0.695075920534286,-0.405245932475954,11,"Conventional",525
-0.301154394603741,-0.439752086234266,-0.162556702973216,11,"RIL",525
-0.549576665958584,-0.692795863095292,-0.406357468821875,12,"Conventional",525
-0.310065381488846,-0.442523037197109,-0.177607725780583,12,"RIL",525
-0.548880994933877,-0.690105166930331,-0.407656822937422,13,"Conventional",525
-0.305190746831827,-0.43164146541674,-0.178740028246913,13,"RIL",525
-0.548738768555471,-0.689558273313121,-0.40791926379782,14,"Conventional",525
-0.317978240696991,-0.440866922233469,-0.195089559160513,14,"RIL",525
-0.548071057437816,-0.687005122797766,-0.409136992077866,15,"Conventional",525
-0.317080816119682,-0.43507366089931,-0.199087971340054,15,"RIL",525
-0.547524043501589,-0.684930993472579,-0.410117093530598,16,"Conventional",525
-0.31091442793129,-0.424452999688825,-0.197375856173754,16,"RIL",525
-0.546916056847988,-0.682643990557423,-0.411188123138552,17,"Conventional",525
-0.306445693512633,-0.415613848415109,-0.197277538610157,17,"RIL",525
-0.546488697013975,-0.681047861860651,-0.411929532167299,18,"Conventional",525
-0.313143963513018,-0.418799579567265,-0.20748834745877,18,"RIL",525
-0.546039828931581,-0.679381486139624,-0.412698171723537,19,"Conventional",525
-0.307305936964321,-0.409607631971654,-0.205004241956987,19,"RIL",525
-0.545398458938758,-0.677018255632359,-0.413778662245157,20,"Conventional",525
-0.30708945904112,-0.405653402757722,-0.208525515324518,20,"RIL",525
-0.54479473493197,-0.674812705987175,-0.414776763876765,21,"Conventional",525
