"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",40
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",40
-0.558027579583062,-0.727727513085255,-0.388327646080869,1,"Conventional",40
-0.290543528243812,-0.563515395548606,-0.0175716609390185,1,"RIL",40
-0.556958596469773,-0.72306096834027,-0.390856224599275,2,"Conventional",40
-0.275499110708423,-0.521338111467296,-0.0296601099495508,2,"RIL",40
-0.556027546064497,-0.719059228144791,-0.392995863984203,3,"Conventional",40
-0.291979227848602,-0.517007152162343,-0.066951303534861,3,"RIL",40
-0.55516878246375,-0.715418189741937,-0.394919375185562,4,"Conventional",40
-0.277219553909352,-0.485399269940442,-0.0690398378782621,4,"RIL",40
-0.554318130843094,-0.71185745977366,-0.396778801912529,5,"Conventional",40
-0.288996815313197,-0.482925462503422,-0.0950681681229724,5,"RIL",40
-0.553445101638873,-0.708249318394356,-0.398640884883389,6,"Conventional",40
-0.279211064973131,-0.459991648609521,-0.0984304813367408,6,"RIL",40
-0.55249789688573,-0.704386177863863,-0.400609615907598,7,"Conventional",40
-0.2817315036578,-0.450698544561472,-0.112764462754129,7,"RIL",40
-0.55168979697223,-0.701131752736604,-0.402247841207856,8,"Conventional",40
-0.285206673517226,-0.44496659333218,-0.125446753702271,8,"RIL",40
-0.550971725944639,-0.698271190448118,-0.403672261441159,9,"Conventional",40
-0.293338049261692,-0.444746660785337,-0.141929437738047,9,"RIL",40
-0.550119995948127,-0.694915583303675,-0.405324408592579,10,"Conventional",40
-0.292155402727758,-0.435298757053299,-0.149012048402217,10,"RIL",40
-0.549498133264028,-0.692490809458307,-0.40650545706975,11,"Conventional",40
-0.298384272670994,-0.435396967573269,-0.16137157776872,11,"RIL",40
-0.549178198366364,-0.691251495928689,-0.407104900804039,12,"Conventional",40
-0.310162947082311,-0.442441455550346,-0.177884438614276,12,"RIL",40
-0.548431975085884,-0.688382240561391,-0.408481709610376,13,"Conventional",40
