"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",430
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",430
-0.558001640434905,-0.727613345459576,-0.388389935410233,1,"Conventional",430
-0.2705524461268,-0.543887023661367,0.00278213140776612,1,"RIL",430
-0.556861857555634,-0.722642484823769,-0.391081230287499,2,"Conventional",430
-0.275075727993955,-0.521034124932632,-0.0291173310552784,2,"RIL",430
-0.555987592678231,-0.71888876840785,-0.393086416948612,3,"Conventional",430
-0.290883694739246,-0.517415233286733,-0.0643521561917585,3,"RIL",430
-0.554937613770998,-0.714446078021939,-0.395429149520056,4,"Conventional",430
-0.295104693554343,-0.503084829501843,-0.0871245576068427,4,"RIL",430
-0.554113253864733,-0.711006571528472,-0.397219936200995,5,"Conventional",430
-0.306802763858096,-0.500821991063004,-0.112783536653189,5,"RIL",430
-0.553155558863079,-0.70706279673956,-0.399248320986598,6,"Conventional",430
-0.310402801062735,-0.491105916787683,-0.129699685337788,6,"RIL",430
-0.552376660147697,-0.703895520239762,-0.400857800055632,7,"Conventional",430
-0.299094836065075,-0.468663920753014,-0.129525751377136,7,"RIL",430
-0.551668946923033,-0.701048287378863,-0.402289606467203,8,"Conventional",430
-0.302963767740695,-0.464324208414651,-0.141603327066739,8,"RIL",430
-0.550845367989186,-0.697770820640371,-0.403919915338001,9,"Conventional",430
-0.300953009613335,-0.45353329177454,-0.148372727452129,9,"RIL",430
-0.550024563376301,-0.694542100082949,-0.405507026669653,10,"Conventional",430
-0.297566197559701,-0.441955127373498,-0.153177267745905,10,"RIL",430
-0.549379643645206,-0.6920311776427,-0.406728109647711,11,"Conventional",430
-0.306531378258536,-0.4439240484594,-0.169138708057673,11,"RIL",430
-0.548649974063403,-0.689217382701401,-0.408082565425405,12,"Conventional",430
-0.308290278994227,-0.439406136258307,-0.177174421730148,12,"RIL",430
-0.548236147657762,-0.687634187211092,-0.408838108104432,13,"Conventional",430
-0.319256823537373,-0.445222040973028,-0.193291606101717,13,"RIL",430
-0.547621037844323,-0.685297631647077,-0.409944444041569,14,"Conventional",430
-0.312989733678751,-0.433656786903627,-0.192322680453875,14,"RIL",430
-0.546978855004623,-0.682879325623562,-0.411078384385685,15,"Conventional",430
-0.317450201759049,-0.433158784500247,-0.201741619017851,15,"RIL",430
-0.547186892621903,-0.683660399142889,-0.410713386100916,16,"Conventional",430
-0.331872156260082,-0.445528179087193,-0.218216133432971,16,"RIL",430
-0.546557591026649,-0.681304532236056,-0.411810649817242,17,"Conventional",430
-0.335255708803975,-0.444550091603864,-0.225961326004085,17,"RIL",430
-0.546068797094699,-0.679488711584514,-0.412648882604883,18,"Conventional",430
-0.340948064184056,-0.446523735359385,-0.235372393008727,18,"RIL",430
-0.545597029609843,-0.67774769344343,-0.413446365776255,19,"Conventional",430
-0.334827282329597,-0.436856195201061,-0.232798369458133,19,"RIL",430
-0.545016110075317,-0.675619316565898,-0.414412903584737,20,"Conventional",430
-0.332471380743708,-0.431017418204784,-0.233925343282633,20,"RIL",430
-0.544465742033813,-0.673618506982552,-0.415312977085075,21,"Conventional",430
-0.335449721060438,-0.430746430809718,-0.240153011311158,21,"RIL",430
-0.543922638636266,-0.6716589087392,-0.416186368533333,22,"Conventional",430
-0.332643209798188,-0.424875875542106,-0.24041054405427,22,"RIL",430
-0.543326244058688,-0.669523855424213,-0.417128632693164,23,"Conventional",430
-0.332614564646945,-0.421756703986042,-0.243472425307849,23,"RIL",430
-0.542743827849205,-0.667455732962596,-0.418031922735813,24,"Conventional",430
-0.332529062499634,-0.418781582659097,-0.24627654234017,24,"RIL",430
-0.542251015993336,-0.665718749461169,-0.418783282525503,25,"Conventional",430
-0.335380711253003,-0.41909249874708,-0.251668923758926,25,"RIL",430
-0.54173301680691,-0.663905730104634,-0.419560303509185,26,"Conventional",430
-0.333023730162773,-0.414220814068086,-0.251826646257459,26,"RIL",430
-0.541191297553626,-0.662023588167387,-0.420359006939865,27,"Conventional",430
-0.332334780400517,-0.411115771092105,-0.253553789708928,27,"RIL",430
-0.54089857609624,-0.66101245346162,-0.42078469873086,28,"Conventional",430
-0.327383490218448,-0.404310458168329,-0.250456522268567,28,"RIL",430
-0.540456967161336,-0.659494811404174,-0.421419122918497,29,"Conventional",430
-0.325044261648501,-0.399980330430098,-0.250108192866904,29,"RIL",430
-0.540954610397376,-0.661205689850836,-0.420703530943916,30,"Conventional",430
-0.334319826153233,-0.409105754704256,-0.259533897602209,30,"RIL",430
-0.540533964833255,-0.65975874219827,-0.421309187468239,31,"Conventional",430
-0.333825140448786,-0.406893156886802,-0.26075712401077,31,"RIL",430
-0.540077914114299,-0.658199610172561,-0.421956218056037,32,"Conventional",430
-0.332168023601895,-0.403382013837719,-0.260954033366071,32,"RIL",430
-0.53990289195732,-0.657603885979753,-0.422201897934887,33,"Conventional",430
-0.327425655901431,-0.397361390237177,-0.257489921565686,33,"RIL",430
-0.539693328552417,-0.656892513039661,-0.422494144065172,34,"Conventional",430
-0.331741660115956,-0.400353799097456,-0.263129521134455,34,"RIL",430
-0.539594545512351,-0.65655791910176,-0.422631171922943,35,"Conventional",430
-0.326857536128641,-0.394446636527625,-0.259268435729657,35,"RIL",430
-0.53921838897336,-0.655288054381532,-0.423148723565187,36,"Conventional",430
-0.325724926225693,-0.39192208374081,-0.259527768710577,36,"RIL",430
-0.538818453133097,-0.653945281537176,-0.423691624729018,37,"Conventional",430
-0.324784492578586,-0.38953861995965,-0.260030365197522,37,"RIL",430
-0.538383677000207,-0.652494119713925,-0.424273234286489,38,"Conventional",430
-0.324679683843132,-0.387938401524895,-0.261420966161369,38,"RIL",430
-0.538001951555418,-0.651227381749165,-0.424776521361672,39,"Conventional",430
-0.323102358148112,-0.385005660265328,-0.261199056030895,39,"RIL",430
-0.537653245277706,-0.650076216845894,-0.425230273709517,40,"Conventional",430
-0.324858399798412,-0.385513176058404,-0.264203623538419,40,"RIL",430
-0.53734060613577,-0.649048974520147,-0.425632237751392,41,"Conventional",430
-0.32289428449789,-0.382424159605216,-0.263364409390564,41,"RIL",430
-0.538354808079324,-0.652398081503567,-0.424311534655081,42,"Conventional",430
-0.331519469147867,-0.391935384051937,-0.271103554243797,42,"RIL",430
-0.537949492149338,-0.651053838721017,-0.424845145577659,43,"Conventional",430
-0.33147464455415,-0.390595305978958,-0.272353983129341,43,"RIL",430
-0.537572994089978,-0.649812097614401,-0.425333890565554,44,"Conventional",430
-0.330770051456279,-0.388692870614474,-0.272847232298084,44,"RIL",430
