"AICc","Vars","delta","rel_lik","weight"
"1",-15.7656432466216,"Null",0,1,0.239941907267003
"4",-15.7592921209344,"Method",0.00635112568714469,0.996829473923181,0.239181165193091
"3",-15.5149285319918,"Volume+Volume^2",0.250714714629742,0.882181592203697,0.211672333789197
"7",-14.6538159281643,"Age",1.11182731845725,0.573547994314205,0.137618199664915
"6",-14.4783046153909,"Volume*Age",1.28733863123067,0.525361167080175,0.126056160433236
"2",-12.3153384921541,"Volume",3.45030475446742,0.178145904324527,0.0427446680554321
"5",-6.85375144404365,"Volume*Method",8.9118918025779,0.0116093333959648,0.00278556559712632
