Age,AGB,Age round,Series,Age
1.1391,395.9424,1.00E+00,5,-1.00E+00
2.3369,395.7196,2.00E+00,5,0.00E+00
2.3896,374.5417,2.00E+00,5,0.00E+00
3.3982,269.7212,3.00E+00,5,1.00E+00
4.2767,269.435,4.00E+00,5,2.00E+00
5.1286,276.0528,5.00E+00,5,3.00E+00
6.5396,286.9271,7.00E+00,5,5.00E+00
9.1219,305.8645,9.00E+00,5,7.00E+00
9.4418,319.2859,9.00E+00,5,7.00E+00
9.8147,328.5723,1.00E+01,5,8.00E+00
10.507,338.8433,1.10E+01,5,9.00E+00
11.2791,344.524,1.10E+01,5,9.00E+00
12.2641,350.2469,1.20E+01,5,1.00E+01
13.2226,359.6497,1.30E+01,5,1.10E+01
14.181,366.2886,1.40E+01,5,1.20E+01
15.1661,373.854,1.50E+01,5,1.30E+01
16.1778,382.346,1.60E+01,5,1.40E+01
17.1096,389.4403,1.70E+01,5,1.50E+01
18.0944,388.7146,1.80E+01,5,1.60E+01
18.121,388.7198,1.80E+01,5,1.60E+01
18.8931,393.4793,1.90E+01,5,1.70E+01
19.6118,399.6099,2.00E+01,5,1.80E+01
20.597,409.4786,2.10E+01,5,1.90E+01
21.3692,419.3049,2.10E+01,5,1.90E+01
22.4874,429.6604,2.20E+01,5,2.00E+01
23.4724,432.6197,2.30E+01,5,2.10E+01
25.016,425.0957,2.50E+01,5,2.30E+01
25.0692,425.5669,2.50E+01,5,2.30E+01
26.4533,424.4598,2.60E+01,5,2.40E+01
27.1987,426.4503,2.70E+01,5,2.50E+01
28.1571,431.7074,2.80E+01,5,2.60E+01
28.9291,435.5455,2.90E+01,5,2.70E+01
-0.0853,394.3175,0.00E+00,6,-2.00E+00
1.086,399.1562,1.00E+00,6,-1.00E+00
2.2838,399.8546,2.00E+00,6,0.00E+00
4.2232,260.6726,4.00E+00,6,2.00E+00
5.2082,266.8561,5.00E+00,6,3.00E+00
6.5659,274.4957,7.00E+00,6,5.00E+00
8.11,285.8571,8.00E+00,6,6.00E+00
9.1218,297.1128,9.00E+00,6,7.00E+00
9.6277,302.7406,1.00E+01,6,8.00E+00
10.1336,308.3685,1.00E+01,6,8.00E+00
10.6926,312.625,1.10E+01,6,9.00E+00
11.3316,317.358,1.10E+01,6,9.00E+00
12.29,323.0757,1.20E+01,6,1.00E+01
13.3018,334.792,1.30E+01,6,1.10E+01
14.1803,339.5726,1.40E+01,6,1.20E+01
15.1652,342.5319,1.50E+01,6,1.30E+01
16.2567,346.4335,1.60E+01,6,1.40E+01
17.0287,349.8111,1.70E+01,6,1.50E+01
18.1466,350.0331,1.80E+01,6,1.60E+01
18.8655,357.0851,1.90E+01,6,1.70E+01
19.5844,366.9008,2.00E+01,6,1.80E+01
20.543,377.6853,2.10E+01,6,1.90E+01
21.4217,389.3752,2.10E+01,6,1.90E+01
22.3534,395.0876,2.20E+01,6,2.00E+01
23.4447,396.6861,2.30E+01,6,2.10E+01
