Study,Site,Age,Method,Vol,MU,VU,SSU,ML,VL,SSL,VarT,ID,Allometry,Region,N_Logged,Lat,Long,Type
Lasco et al 2006,Lasco et al 2006-3,15,Conventional,-9999,399,145,2,204,134,2,SD,17,Allometric - height,Asia & Oceania,1,8.933333,125.783333,Aboveground biomass
Lasco et al 2006,Lasco et al 2006-4,18.5,Conventional,-9999,399,145,2,235,161,2,SD,17,Allometric - height,Asia & Oceania,1,8.933333,125.783333,Aboveground biomass
Lasco et al 2006,Lasco et al 2006-5,21,Conventional,-9999,399,145,2,287,149,2,SD,17,Allometric - height,Asia & Oceania,1,8.933333,125.783333,Aboveground biomass
Bryan et al 2010,Bryan et al 2010-2,1,RIL,10.7,252.41,7,3,171.97,4.51,3,SE,6,Allometric - height,Asia & Oceania,1,-7.65,142.55,Aboveground biomass
Bryan et al 2010,Bryan et al 2010-1,1,RIL,10.7,192.96,4.44,3,157.03,4.89,3,SE,7,Allometric - height,Asia & Oceania,1,-7.58,142.54,Aboveground biomass
Pfeifer et al 2013,Pfeifer et al 2013-1,10,Conventional,179,565.1041496,328.677753,9,127.1630665,75.41151032,16,SD,21,Allometric - height,Asia & Oceania,2,4.633333,116.95,Aboveground biomass
Pfeifer et al 2013,Pfeifer et al 2013-2,10,Conventional,150,565.1041496,328.677753,9,168.5752185,44.28430042,9,SD,21,Allometric - height,Asia & Oceania,2,4.633333,116.95,Aboveground biomass
Pfeifer et al 2013,Pfeifer et al 2013-3,10,Conventional,150,565.1041496,328.677753,9,168.5980573,116.5109326,8,SD,21,Allometric - height,Asia & Oceania,2,4.633333,116.95,Aboveground biomass
Pfeifer et al 2013,Pfeifer et al 2013-4,10,Conventional,179,565.1041496,328.677753,9,87.22143687,63.51575997,16,SD,21,Allometric - height,Asia & Oceania,2,4.633333,116.95,Aboveground biomass
Pfeifer et al 2013,Pfeifer et al 2013-5,10,Conventional,150,565.1041496,328.677753,9,181.832157,47.29814627,9,SD,21,Allometric - height,Asia & Oceania,2,4.633333,116.95,Aboveground biomass
Pfeifer et al 2013,Pfeifer et al 2013-6,10,Conventional,179,565.1041496,328.677753,9,51.29253423,49.33324672,16,SD,21,Allometric - height,Asia & Oceania,2,4.633333,116.95,Aboveground biomass
Pfeifer et al 2013,Pfeifer et al 2013-7,10,Conventional,179,565.1041496,328.677753,9,67.34782612,69.93300898,16,SD,21,Allometric - height,Asia & Oceania,2,4.633333,116.95,Aboveground biomass
