Study,Method,Minimum DBH of trees cut (cm),Illegal/Legal,Extaction methods,Lianas cut prior to logging,Planned road building & skidder routes,Planned extraction,Directional felling,Lighter machinery,Training,Supervision,Silvicultural treatments,Exclusion of steep slopes
Nicholson et al 1979,Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicholson et al 1979,Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parren et al 2001,RIL,60,Legal,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Parren et al 2001,Conventional,60,Legal,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
Pfeifer et al 2014,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeifer et al 2014,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeifer et al 2014,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeifer et al 2014,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeifer et al 2014,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeifer et al 2014,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeifer et al 2014,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeifer et al 2014,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeifer et al 2014,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeifer et al 2014,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinard and Putz 1996,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinard and Putz 1996,RIL,60,Legal,Bulldozer,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes
Pinard et al 1996,Conventional,NA,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinard et al 1996,RIL,60,Legal,Bulldozer,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes
Rockwell et al 2014,Conventional,45,NA,Tractor,NA,NA,Yes,NA,NA,NA,NA,NA,NA
Saner et al 2012,Conventional,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sist et al 2003,Conventional,NA,Legal,NA,No,No,No,No,NA,No,No,NA,NA
Sist et al 2003,Conventional,NA,Legal,NA,No,No,No,No,NA,No,No,NA,NA
Sist et al 2003,Conventional,NA,Legal,NA,No,No,No,No,NA,No,No,NA,NA
Sist et al 2003,Conventional,NA,Legal,NA,No,No,No,No,NA,No,No,NA,NA
Sist et al 2003,Conventional,NA,Legal,NA,No,No,No,No,NA,No,No,NA,NA
Sist et al 2003,Conventional,NA,Legal,NA,No,No,No,No,NA,No,No,NA,NA
Sist et al 2003,Conventional,NA,Legal,NA,No,No,No,No,NA,No,No,NA,NA
Sist et al 2003,Conventional,NA,Legal,NA,No,No,No,No,NA,No,No,NA,NA
Sist et al 2003,RIL,NA,Legal,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2003,RIL,NA,Legal,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2003,RIL,NA,Legal,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2003,RIL,NA,Legal,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2003,RIL,NA,Legal,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2003,RIL,NA,Legal,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2003,RIL,NA,Legal,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2003,RIL,NA,Legal,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Sist et al 2007,RIL,55,Legal,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
Tangki et al 2008,Conventional,60,Legal,High lead cable & tractor,NA,NA,NA,NA,NA,NA,NA,Yes,NA
Uhl et al 1991,Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
van de Hout 1999,RIL,,Legal,NA,,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
van de Hout 1999,RIL,,Legal,NA,,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
