"Study","Site","Vol.x","Vol2","Trees","Trees2","Region.x"
"Verissimo et al 1995","Verissimo et al 1995-1",1.3,1.3,0.3,0.3,"Americas"
"Verissimo et al 1995","Verissimo et al 1995-2",2.5,2.5,0.2,0.2,"Americas"
"Verissimo et al 1995","Verissimo et al 1995-3",11.4,11.4,2.1,2.1,"Americas"
"Webb et al 1997","Webb et al 1997-1",45.8,45.8,6.3,6.3,"Americas"
"White 2009","White 2009-1",NA,20.4728856103083,2,2,"Asia/Africa"
"White 2009","White 2009-2",NA,20.4728856103083,2,2,"Asia/Africa"
"Whitman et al 1997","Whitman et al 1997-1",NA,10.1961882973737,0.5,0.5,"Americas"
"Whitmore et al 1989","Whitmore et al 1989-1",NA,NA,NA,NA,"Americas"
"Adekunle et al 2010","Adekunle et al 2010a",NA,NA,NA,NA,"Asia/Africa"
"Asase et al 2014","Asase et al 2014a",NA,NA,NA,NA,"Asia/Africa"
"Aubad et al 2008","Aubad et al 2008",NA,NA,NA,NA,"Americas"
"Baraloto et al 2012","Baraloto et al 2012",55,55,7,7,"Americas"
"Berry et al 2008","Berry et al 2008",92.4,92.4,NA,17.6394170568395,"Asia/Africa"
"Brown et al 2004","Brown et al 2004",NA,NA,NA,NA,"Asia/Africa"
"Burghouts e al 1994","Burghouts e al 1994a",100,100,NA,21.7816167849676,"Asia/Africa"
"Cannon et al 1998","Cannon et al 1998",NA,NA,NA,NA,"Asia/Africa"
"Carreño Rocabado et al 2012","Carreño Rocabado et al 2012",9.4,9.4,2.1,2.1,"Americas"
"Foody et al 2003","Foody et al 2003",118,118,NA,NA,"Asia/Africa"
"Gerwing et al 2002","Gerwing et al 2002a",35.3,35.3,5.7,5.7,"Americas"
"Gerwing et al 2002","Gerwing et al 2002b",69,69,10,10,"Americas"
"Gourlet-Fleury et al 2013","Gourlet-Fleury et al 2013a",76.14,76.14,4.5,4.5,"Asia/Africa"
"Gradstein et al 2007","Gradstein et al 2007",NA,NA,NA,NA,"Asia/Africa"
"Huang et al 2003","Huang et al 2003",NA,NA,NA,NA,"Asia/Africa"
"Imai et al 2012","Imai et al 2012a",13.74,13.74,2.36,2.36,"Asia/Africa"
"Imai et al 2012","Imai et al 2012b",NA,NA,NA,NA,"Asia/Africa"
"Medjibe et al 2013","Medjibe et al 2013a",5.7,5.7,0.39,0.39,"Asia/Africa"
"Medjibe et al 2013","Medjibe et al 2013a",5.66,5.66,0.39,0.39,"Asia/Africa"
"Medjibe et al 2013","Medjibe et al 2013b",11.4,11.4,0.76,0.76,"Asia/Africa"
"Medjibe et al 2013","Medjibe et al 2013b",11.38,11.38,0.76,0.76,"Asia/Africa"
