"","(Intercept)","Vol","Method","Vol_log","Method:Vol_log","Method:Vol","df","logLik","AICc","delta","weight","r2"
"2",-2.63428115668546,NA,"+",0.544051844465903,"+",NA,8,-66.8450947041484,151.975903694011,0,0.988860623262487,0.25121633119667
"3",-0.0737974302288401,NA,"+",NA,NA,NA,6,-73.8403976291521,160.973102950612,8.99719925660088,0.0110006434490675,0.0634050659681588
"4",-1.24652861477564,0.0135003978742588,"+",NA,NA,"+",8,-75.7202191866619,169.726152659038,17.750248965027,0.000138266667156014,0.221306047507943
"5",-0.582023934391021,NA,NA,NA,NA,NA,5,-85.3317957448809,181.572682398853,29.5967787048417,3.7006349547288e-07,0
"1",-1.65733902182044,0.0165535477544454,NA,NA,NA,NA,6,-85.483720225244,184.259748142796,32.2838444487846,9.65577937779528e-08,0.298073575590037
