"Parameter","coef_estimate","lower","upper","med_pval","se"
"1","Intercept",-0.0106659253391268,-0.161041114789027,0.147789904851918,0.590900763547992,0.0799301240153014
"2","Vol_slope",-0.000783044655500139,-0.00123923887356276,-0.000326850437437517,0.000767593463670797,0.000243082190392602
