"AICc","Vars","delta","rel_lik","weight"
"2",-6.99975476560527,"Volume",0,1,0.770146483070217
"1",-4.16205854530138,"Null",2.83769622030389,0.241992605239971,0.186369753854563
"4",-1.25136850814093,"Method",5.74838625746434,0.0564616784353418,0.04348376307522
