"AICc","Vars","sigma1","sigma2","sumsigma1","sumsigma2","R_squared","delta","rel_lik","weight"
"1",27.9508283546393,"Null",0.0123992302812346,0.0202116839269602,0,0,0,0,1,0.625597469825103
"3",29.8384749443465,"Method",0.00839707729998914,0.0271611334747656,0.0040021529812455,0,0.122724341786156,1.88764658970712,0.389137201348396,0.243443248578379
"4",32.1832803603887,"Region",0.0131170476959772,0.0143965258300584,0,0.00581515809690178,0.178319382884412,4.23245200574941,0.120485483417269,0.0753754135764977
"2",32.7924566130269,"Method + Region",0.0071035584147684,0.0207786937787439,0.00529567186646624,0,0.162389555614957,4.84162825838753,0.0888492532355664,0.0555838680200202
