"","Estimate","Std..Error","t.value","p.z"
"(Intercept)",-2.63428115668546,0.830041334324971,-3.17367466865705,0.00150522302965417
"Vol_log",0.544051844465903,0.193198502219495,2.81602516694358,0.00486218576977748
"MethodRIL",-0.997329763842241,0.371989742016705,-2.68106791987144,0.0073387619076466
"Vol_log:MethodRIL",0.130157622805055,0.104260939095808,1.24838337285118,0.211890695106439
