"Parameter","coef_estimate","lower","upper","med_pval","se"
"1","Intercept",-26.719393718929,-52.9972028861089,-0.503365315322956,0.0457704330078977,13.2561483599724
"2","Vol_slope",-1.11187084228475,-1.51270284373225,-0.709819611516988,5.76918533481307e-08,0.204992374967266
